Hidden1,Hidden2,Dropout,LearningRate,WeightDecay,Accuracy,Precision,Recall,F1,AUROC
16,16,0.2,0.001,0.0,0.5207481005260082,0.43259079903147696,0.46896551724137936,0.4062330325042189,0.5663575108997226
16,16,0.2,0.001,0.0001,0.5035067212156633,0.49670995670995677,0.3703448275862069,0.386931969539875,0.5220848196591359
16,16,0.2,0.0005,0.0,0.5825832846288719,0.5726333371385312,0.7935632183908046,0.653820214338507,0.6168608799048751
16,16,0.2,0.0005,0.0001,0.6092928112215079,0.6152199413489736,0.6039080459770114,0.6045358119190815,0.6346175188267934
16,16,0.3,0.001,0.0,0.5924021040327294,0.49703682282629646,0.5793103448275863,0.5223024091924368,0.6485533095521205
16,16,0.3,0.001,0.0001,0.537989479836353,0.34471153846153846,0.3793103448275862,0.3583265297306637,0.5569639318271898
16,16,0.3,0.0005,0.0,0.5613676212741087,0.5811548451548452,0.40551724137931033,0.44683877651619586,0.6198969480776853
16,16,0.3,0.0005,0.0001,0.5784921098772647,0.6958874458874459,0.4064367816091954,0.4422898977716865,0.6195481569560048
16,16,0.4,0.001,0.0,0.4967855055523086,0.3614714204867006,0.42804597701149427,0.3692009030380124,0.5976139516448672
16,16,0.4,0.001,0.0001,0.6129748684979545,0.6128584192297609,0.6795402298850574,0.6321724016533314,0.6539754260800634
16,16,0.4,0.0005,0.0,0.5443600233781415,0.5540976265114195,0.5551724137931034,0.5229835117002574,0.5580340864050732
16,16,0.4,0.0005,0.0001,0.5620689655172413,0.459865127919911,0.4206896551724138,0.42771314462720655,0.6004676971858898
16,16,0.5,0.001,0.0,0.5993571011104617,0.49562211981566817,0.5124137931034483,0.5036698303134886,0.6031311930241776
16,16,0.5,0.001,0.0001,0.5482758620689655,0.4516469038208169,0.5448275862068966,0.4810996121183697,0.6182164090368609
16,16,0.5,0.0005,0.0,0.5615429573348918,0.4519075682382134,0.44827586206896547,0.4306005983730188,0.6076258422512881
16,16,0.5,0.0005,0.0001,0.5820572764465225,0.48980892980892976,0.47586206896551725,0.47814689265536725,0.6019024970273483
16,32,0.2,0.001,0.0,0.5408533021624781,0.47777777777777775,0.4250574712643679,0.42758472572825257,0.6352279032897344
16,32,0.2,0.001,0.0001,0.5784336645236704,0.5681362007168459,0.45379310344827584,0.4600010864841374,0.5829013079667064
16,32,0.2,0.0005,0.0,0.6192869666861485,0.6154888547629019,0.6227586206896552,0.6116068461282818,0.6562029330162504
16,32,0.2,0.0005,0.0001,0.5580362361192285,0.660074074074074,0.565287356321839,0.5033712762745021,0.5897423701942133
16,32,0.3,0.001,0.0,0.5790181180596143,0.6519607843137255,0.47471264367816096,0.4587414340327195,0.6201426872770511
16,32,0.3,0.001,0.0001,0.5717124488603156,0.583478835978836,0.5680459770114943,0.5394461532619428,0.5995877923107411
16,32,0.3,0.0005,0.0,0.5685563997662186,0.4557432432432432,0.615632183908046,0.5188904917889857,0.6417677368212445
16,32,0.3,0.0005,0.0001,0.5579777907656341,0.6293560606060605,0.3236781609195402,0.342909532737666,0.6154736424891004
16,32,0.4,0.001,0.0,0.5545879602571595,0.5796708437761069,0.44413793103448274,0.4719604788570305,0.5177487118509709
16,32,0.4,0.001,0.0001,0.5620105201636469,0.46124639836416026,0.5379310344827586,0.4871822112050522,0.6208957590170432
16,32,0.4,0.0005,0.0,0.5616598480420807,0.4304065040650407,0.4413793103448276,0.41956926213839685,0.5701625049544193
16,32,0.4,0.0005,0.0001,0.5651081239041497,0.617050485746138,0.4535632183908046,0.4719360051712993,0.5884185493460167
16,32,0.5,0.001,0.0,0.54114552893045,0.4513739545997611,0.3216091954022988,0.35404761904761906,0.5155608402695204
16,32,0.5,0.001,0.0001,0.6197545295149036,0.6689664502164503,0.5482758620689655,0.5811336573929301,0.6364486722156163
16,32,0.5,0.0005,0.0,0.5545295149035652,0.5896639784946236,0.412183908045977,0.4583093736864229,0.6207372175980974
