Participant,Accuracy,Precision,Recall,F1 Score
p11,0.7941176470588235,0.8,0.9090909090909091,0.851063829787234
p18,0.75,0.7777777777777778,0.9333333333333333,0.8484848484848485
p7,0.7916666666666666,0.7894736842105263,0.9375,0.8571428571428571
