train_loss,val_loss
0.7017610609531403,0.6942074696222941
0.6838015198707581,0.6852560440699259
0.6744833648204803,0.6768935720125834
0.6492726981639863,0.672694981098175
0.6448129773139953,0.6693607370058695
0.62561936378479,0.6736043890317281
0.6029406309127807,0.6820532480875651
0.5825729846954346,0.689860999584198
0.5590576767921448,0.7109848856925964
0.5327821999788285,0.7344209551811218
0.5047147750854493,0.7714904149373373
0.48968343436717987,0.7861558000246683
0.46458751857280733,0.8109991351763407
0.4619012475013733,0.8604970177014669
0.4262362062931061,0.8931352496147156
