Participant,Accuracy,Precision,Recall,F1 Score
p11,0.6976744186046512,0.7027027027027027,0.9285714285714286,0.8
p18,0.6976744186046512,0.7435897435897436,0.90625,0.8169014084507042
p7,0.6428571428571429,0.7272727272727273,0.8,0.7619047619047619
