Participant,Total Samples,Engaged,Disengaged,Sessions,Speakers
p11,1715,1138,577,,
p12,1612,1007,605,,
p17,1193,774,419,,
p18,1526,945,581,,
p5,1396,1147,249,,
p7,1762,1302,460,,
p9,1869,938,931,,
