Hidden1,Hidden2,Dropout,LearningRate,WeightDecay,Accuracy,Precision,Recall,F1,AUROC
16,16,0.2,0.001,0.0,0.6388329979879275,0.7419332384116437,0.5857357357357358,0.5659185198713683,0.729726953844601
16,16,0.2,0.001,0.0001,0.6243863179074446,0.5311255411255411,0.5578078078078079,0.542133855766176,0.6712533121356652
16,16,0.2,0.0005,0.0,0.6105432595573441,0.5164011140084792,0.5582582582582583,0.5328298802874059,0.6586184924420219
16,16,0.2,0.0005,0.0001,0.6303018108651911,0.645220899170479,0.601951951951952,0.5795216315351145,0.7280649557120145
16,16,0.3,0.001,0.0,0.6443460764587525,0.6538057363413593,0.6720720720720721,0.6538070187424563,0.7003153153153152
16,16,0.3,0.001,0.0001,0.6783098591549296,0.6864071395380693,0.7042042042042042,0.6919978802331744,0.7116177101471218
16,16,0.3,0.0005,0.0,0.6443863179074446,0.6501730673507677,0.6399399399399399,0.6205345895934131,0.7192898781134076
16,16,0.3,0.0005,0.0001,0.6642253521126762,0.6665920716112532,0.7310810810810812,0.6920641814697739,0.7326534938299645
16,16,0.4,0.001,0.0,0.6556136820925553,0.6677811546715331,0.6711711711711712,0.6652486180943755,0.6869553587200646
16,16,0.4,0.001,0.0001,0.6472837022132796,0.5513857711532131,0.5804804804804805,0.5606841954197599,0.7162576021399552
16,16,0.4,0.0005,0.0,0.647082494969819,0.6316828087167071,0.7804804804804805,0.6922893772893773,0.725905190905191
16,16,0.4,0.0005,0.0001,0.6416901408450704,0.5487737127371274,0.5801801801801801,0.5596444185996425,0.7104785878315291
16,16,0.5,0.001,0.0,0.6867203219315895,0.6799597351892984,0.7481981981981981,0.7099268672864976,0.7116804199157141
16,16,0.5,0.001,0.0001,0.6387927565392354,0.5388615254714326,0.5800300300300301,0.5572793660970088,0.7005870997047468
16,16,0.5,0.0005,0.0,0.6554929577464789,0.653332631800484,0.72012012012012,0.6789387722177054,0.7232831150478208
16,16,0.5,0.0005,0.0001,0.6611670020120725,0.6514855722530141,0.7375375375375376,0.6873774767971693,0.7083906175082646
16,32,0.2,0.001,0.0,0.6782696177062374,0.6869335392816264,0.6933933933933933,0.6874988619600482,0.7308630479218714
16,32,0.2,0.001,0.0001,0.6781891348088531,0.6815402322575246,0.7207207207207207,0.6963668147293622,0.7251384157266509
16,32,0.2,0.0005,0.0,0.6727565392354126,0.6785038363171356,0.7211711711711711,0.6929878318800156,0.7055833144068437
