Participant,Best Hidden1,Best Hidden2,Best Dropout,Best LearningRate,Best WeightDecay,Accuracy Mean,Accuracy Std,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Mean,F1 Std,AUROC Mean,AUROC Std
p11,64,16,0.3,0.0005,0.0001,0.6174052850723502,0.021556856817633505,0.618824353703133,0.019817541999319944,0.9142857142857143,0.04059800908710589,0.7372872553661881,0.005059652191180802,0.6377527830248442,0.028242445501810133
p12,32,32,0.3,0.001,0.0,0.6056451612903226,0.014649921068213657,0.6029338415355836,0.010687998005656688,0.982312925170068,0.016383121875907902,0.7470791074954097,0.005384991483115729,0.5584831952583013,0.04115795598416073
p17,64,16,0.4,0.001,0.0001,0.6899224806201549,0.021229556492448298,0.7068880604324469,0.021170186659017792,0.7966486486486486,0.04044425001135026,0.7484743105188318,0.019209449973106415,0.7189118815785482,0.028680792436628858
p18,64,64,0.3,0.001,0.0,0.7038029556650246,0.024348260934010272,0.7112373429685173,0.024788978384979763,0.9166877370417194,0.03033607202475438,0.8004228828572698,0.01329900449439928,0.676937353295703,0.057882002187207314
p5,32,32,0.3,0.001,0.0001,0.830487012987013,0.004831284473549604,0.8306951072183629,0.005192010769195588,0.9986206896551725,0.003084231693103164,0.9069367520887814,0.002382338594703928,0.6388599610932492,0.11114727595896545
p7,128,16,0.2,0.001,0.0,0.752671755725191,0.0068276884809154,0.7527559055118112,0.0069929259017328495,0.9979591836734694,0.004563404035713862,0.8581554753918528,0.003131744533061629,0.5800698309626882,0.08761325023748935
p9,64,64,0.2,0.001,0.0001,0.7061335403726708,0.039362128933365534,0.6430125503828471,0.0681177275252974,0.566973886328725,0.06503864351824312,0.6009042846919025,0.05469152777650114,0.7340108422104173,0.03431627416877365
