Participant,Total Samples,Engaged,Disengaged,Sessions,Speakers
p11,1908,1120,788,,
p12,1240,735,505,,
p17,645,374,271,,
p18,871,564,307,,
p5,879,727,152,,
p7,655,491,164,,
p9,803,314,489,,
