Participant,learning_rate,max_depth,min_samples_leaf,min_samples_split,n_estimators,subsample,mean_test_score,std_test_score,rank_test_score
p12,0.05,2,2,2,50,0.8,0.522965075121773,0.03740513369638673,29
p12,0.05,2,2,2,50,1.0,0.5030593023263672,0.03553196538136219,166
p12,0.05,2,2,2,100,0.8,0.49920411268056447,0.03873466186445964,186
p12,0.05,2,2,2,100,1.0,0.4988070387314506,0.043828014899715204,192
p12,0.05,2,2,2,200,0.8,0.5173671452570099,0.035483095341362916,57
p12,0.05,2,2,2,200,1.0,0.5085142042338711,0.04997590027535387,123
p12,0.05,2,2,5,50,0.8,0.522965075121773,0.03740513369638673,29
p12,0.05,2,2,5,50,1.0,0.5030593023263672,0.03553196538136219,166
p12,0.05,2,2,5,100,0.8,0.49920411268056447,0.03873466186445964,186
p12,0.05,2,2,5,100,1.0,0.5029140968065603,0.05591381559073834,170
p12,0.05,2,2,5,200,0.8,0.5129178630673682,0.03383980861202745,87
p12,0.05,2,2,5,200,1.0,0.5089831049872802,0.05328061760196612,114
p12,0.05,3,1,2,50,0.8,0.5329676398890983,0.052322643674301346,9
p12,0.05,3,1,2,50,1.0,0.5089181609690315,0.05367835690740725,115
p12,0.05,3,1,2,100,0.8,0.49812510099107266,0.05697019204506997,194
p12,0.05,3,1,2,100,1.0,0.5002996718322763,0.05139922262665961,182
p12,0.05,3,1,2,200,0.8,0.5047275055556815,0.06639479582849879,159
p12,0.05,3,1,2,200,1.0,0.48668079311459034,0.05562870722749726,212
p12,0.05,3,1,5,50,0.8,0.5147509381098689,0.044170697362886875,74
p12,0.05,3,1,5,50,1.0,0.5181564930063367,0.05565343303444772,53
p12,0.05,3,1,5,100,0.8,0.5189492384828212,0.049130793129279315,48
p12,0.05,3,1,5,100,1.0,0.5057879196022875,0.05341848457519484,148
p12,0.05,3,1,5,200,0.8,0.5255075496977447,0.05017216454869813,22
p12,0.05,3,1,5,200,1.0,0.49277187499190517,0.06413099860116381,207
p12,0.05,3,2,2,50,0.8,0.5376834142120476,0.029139517898342633,7
p12,0.05,3,2,2,50,1.0,0.5107080926752834,0.03606562338668137,99
p12,0.05,3,2,2,100,0.8,0.5098532392566644,0.04514282033878056,106
p12,0.05,3,2,2,100,1.0,0.5065411838464561,0.049110432636292396,141
p12,0.05,3,2,2,200,0.8,0.5141537437110193,0.041747121525211386,79
p12,0.05,3,2,2,200,1.0,0.5062107859320228,0.030922749876999767,143
p12,0.05,3,2,5,50,0.8,0.5409833169283539,0.025981683231831643,4
p12,0.05,3,2,5,50,1.0,0.516586865006256,0.045957535898351054,67
p12,0.05,3,2,5,100,0.8,0.5133120569752925,0.049854633190102145,84
p12,0.05,3,2,5,100,1.0,0.5099527115541661,0.044267093147191156,105
p12,0.05,3,2,5,200,0.8,0.5055481893242397,0.039572351694645694,149
p12,0.05,3,2,5,200,1.0,0.5026045432482419,0.05847962856351189,175
p12,0.05,4,1,2,50,0.8,0.5269265151200436,0.02982821857329035,17
p12,0.05,4,1,2,50,1.0,0.5188241032317666,0.0412076764239443,51
p12,0.05,4,1,2,100,0.8,0.5122982149792104,0.0328934761661716,92
p12,0.05,4,1,2,100,1.0,0.5166782750655198,0.03567537114572951,66
p12,0.05,4,1,2,200,0.8,0.5063093783716883,0.04260957269695697,142
p12,0.05,4,1,2,200,1.0,0.5079401651541515,0.04220451639345201,127
p12,0.05,4,1,5,50,0.8,0.5059764702125411,0.04364953375133419,147
p12,0.05,4,1,5,50,1.0,0.5050480021164506,0.03589627031443426,157
p12,0.05,4,1,5,100,0.8,0.5086409703394874,0.0889281195362025,120
p12,0.05,4,1,5,100,1.0,0.5074375040164514,0.03684643758600057,137
p12,0.05,4,1,5,200,0.8,0.501480241179913,0.0745701490454252,177
p12,0.05,4,1,5,200,1.0,0.4947184000729735,0.04612211488262085,202
p12,0.05,4,2,2,50,0.8,0.5296560074039514,0.04068886867763761,13
p12,0.05,4,2,2,50,1.0,0.509282074023792,0.041410988230382514,113
p12,0.05,4,2,2,100,0.8,0.5265058711657977,0.050929919650857414,19
