Participant,Fold,Accuracy,Precision,Recall,F1 Score,AUROC
p11,1,0.5463917525773195,0.6086956521739131,0.5185185185185185,0.56,0.5602928509905254
p11,2,0.5051546391752577,0.5454545454545454,0.5660377358490566,0.5555555555555556,0.5424528301886793
p11,3,0.5979381443298969,0.6166666666666667,0.6981132075471698,0.6548672566371682,0.6123499142367066
p11,4,0.53125,0.5606060606060606,0.6981132075471698,0.6218487394957983,0.5291794646774901
p11,5,0.5520833333333334,0.5892857142857143,0.6226415094339622,0.6055045871559633,0.6068451075032909
p12,1,0.5488721804511278,0.5679012345679012,0.647887323943662,0.6052631578947368,0.5590640617900955
p12,2,0.5037593984962406,0.5308641975308642,0.6056338028169014,0.5657894736842105,0.5704225352112675
p12,3,0.5378787878787878,0.5584415584415584,0.6142857142857143,0.5850340136054422,0.5804147465437789
p12,4,0.5,0.527027027027027,0.5571428571428572,0.5416666666666666,0.5456221198156681
p12,5,0.5606060606060606,0.5844155844155844,0.6338028169014085,0.6081081081081081,0.5536827522512121
p17,1,0.56,0.6153846153846154,0.5714285714285714,0.5925925925925926,0.551948051948052
p17,2,0.52,0.5333333333333333,0.6153846153846154,0.5714285714285714,0.5448717948717949
p17,3,0.64,0.625,0.7692307692307693,0.6896551724137931,0.7115384615384616
p17,4,0.5,0.5333333333333333,0.6153846153846154,0.5714285714285714,0.4405594405594406
p17,5,0.625,0.6666666666666666,0.6153846153846154,0.64,0.6433566433566433
p18,1,0.6296296296296297,0.6666666666666666,0.8571428571428571,0.75,0.7052631578947368
p18,2,0.6481481481481481,0.7222222222222222,0.7428571428571429,0.7323943661971831,0.6902255639097745
p18,3,0.7222222222222222,0.75,0.8571428571428571,0.8,0.7308270676691729
p18,4,0.5370370370370371,0.6216216216216216,0.6764705882352942,0.647887323943662,0.5838235294117647
p18,5,0.6226415094339622,0.6590909090909091,0.8529411764705882,0.7435897435897436,0.6671826625386997
p5,1,0.65625,0.7083333333333334,0.8095238095238095,0.7555555555555555,0.7402597402597403
p5,2,0.7419354838709677,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.7904761904761904
p5,3,0.6451612903225806,0.6956521739130435,0.8,0.7441860465116279,0.4818181818181818
p5,4,0.6451612903225806,0.7368421052631579,0.7,0.717948717948718,0.7363636363636363
p5,5,0.6774193548387096,0.7272727272727273,0.8,0.7619047619047619,0.7181818181818181
p7,1,0.5333333333333333,0.625,0.5555555555555556,0.5882352941176471,0.5324074074074074
p7,2,0.6,0.631578947368421,0.7058823529411765,0.6666666666666666,0.7375565610859729
p7,3,0.6896551724137931,0.7,0.8235294117647058,0.7567567567567568,0.7156862745098039
p7,4,0.5862068965517241,0.6666666666666666,0.5882352941176471,0.625,0.6617647058823529
p7,5,0.4827586206896552,0.5555555555555556,0.5882352941176471,0.5714285714285714,0.5490196078431373
p9,1,0.52,0.5454545454545454,0.46153846153846156,0.5,0.5064102564102564
p9,2,0.5833333333333334,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.5944055944055944
p9,3,0.375,0.4166666666666667,0.38461538461538464,0.4,0.4265734265734266
p9,4,0.5,0.5333333333333333,0.6153846153846154,0.5714285714285714,0.46153846153846156
p9,5,0.4166666666666667,0.45454545454545453,0.38461538461538464,0.4166666666666667,0.42657342657342656
