CSV Name,DER Mean,DER Median,DER Std,FA Mean,FA Median,FA Std,Missed Mean,Missed Median,Missed Std,Confusion Mean,Confusion Median,Confusion Std,Correct Mean,Correct Median,Correct Std
model_C-vad_MN-embedding_TL-audio_RAW-speaker_FIXED-overlap_OVERLAP-params_OLD,58.04500000000001,50.395,19.09876466001038,2.4885714285714284,2.215,1.5819066253823488,47.93500000000001,40.86,21.44262675857816,7.623571428571429,5.8,5.673619936761114,44.44071428571429,52.855000000000004,19.63963553801175
model_C-vad_MN-embedding_ET-audio_RAW-speaker_FIXED-overlap_OVERLAP-params_OLD,59.69499999999999,51.055,19.046218986778133,2.4885714285714284,2.215,1.5819066253823488,47.93500000000001,40.86,21.44262675857816,9.27,6.835,6.422023405079168,42.794285714285714,51.260000000000005,19.433775006133292
model_C-vad_MMN-embedding_TL-audio_RAW-speaker_FIXED-overlap_OVERLAP-params_OLD,66.61142857142856,67.035,18.765053795714095,0.5107142857142858,0.495,0.3682696396290732,58.56785714285714,59.010000000000005,21.286252760723446,7.5321428571428575,6.5649999999999995,5.710717560424876,33.9,33.379999999999995,18.968235796477465
model_C-vad_MMN-embedding_ET-audio_RAW-speaker_FIXED-overlap_OVERLAP-params_OLD,67.88357142857141,69.315,18.803240967426888,0.5107142857142858,0.495,0.3682696396290732,58.56785714285714,59.010000000000005,21.286252760723446,8.803571428571429,9.32,4.089426529558801,32.627857142857145,31.085,19.039194059611884
model_C-vad_TMN-embedding_TL-audio_RAW-speaker_FIXED-overlap_OVERLAP-params_OLD,61.05642857142857,59.485,21.679020559462145,4.327142857142857,2.9,4.349122685308858,50.09857142857144,42.8,26.288168399532854,6.632857142857143,5.234999999999999,4.474731497869116,43.269999999999996,50.425,23.29927169545137
model_C-vad_TMN-embedding_ET-audio_RAW-speaker_FIXED-overlap_OVERLAP-params_OLD,63.52,58.78,20.408674249332922,4.327142857142857,2.9,4.349122685308858,50.09857142857144,42.8,26.288168399532854,9.095714285714285,6.73,8.33485980158562,40.80571428571428,48.495000000000005,22.468474568838655
model_C-vad_MN-embedding_TL-audio_RAW-speaker_FIXED-overlap_NO_OVERLAP-params_OLD,55.826428571428565,47.849999999999994,20.35425361220328,2.905714285714286,2.385,1.9182272035386227,44.573571428571434,37.39,22.733715594360607,8.346428571428572,6.825,6.378954106631078,47.07928571428571,54.595,20.852260332851472
model_C-vad_MN-embedding_ET-audio_RAW-speaker_FIXED-overlap_NO_OVERLAP-params_OLD,57.417857142857144,49.6,20.491126476739005,2.905714285714286,2.385,1.9182272035386227,44.573571428571434,37.39,22.733715594360607,9.940714285714284,7.895,6.6846269837656545,45.48714285714285,54.18,20.868216697453285
model_C-vad_MMN-embedding_TL-audio_RAW-speaker_FIXED-overlap_NO_OVERLAP-params_OLD,64.69071428571428,64.84,19.628219271198336,0.5985714285714285,0.58,0.44132418126251927,55.79928571428571,56.655,22.563821097665894,8.294285714285712,7.245,6.378305434814189,35.90785714285715,35.629999999999995,19.846556445571427
model_C-vad_MMN-embedding_ET-audio_RAW-speaker_FIXED-overlap_NO_OVERLAP-params_OLD,66.00571428571429,67.985,20.05593705088374,0.5985714285714285,0.58,0.44132418126251927,55.79928571428571,56.655,22.563821097665894,9.609285714285715,9.745000000000001,4.710705425347207,34.59214285714286,32.480000000000004,20.319030934861733
model_C-vad_TMN-embedding_TL-audio_RAW-speaker_FIXED-overlap_NO_OVERLAP-params_OLD,58.5757142857143,56.17,23.18927627300891,4.918571428571427,3.205,4.713371906106574,46.46499999999998,37.385,28.230944219746913,7.191428571428571,5.9399999999999995,4.861055373132396,46.34357142857142,54.805,24.935843403898257
model_C-vad_TMN-embedding_ET-audio_RAW-speaker_FIXED-overlap_NO_OVERLAP-params_OLD,61.019285714285715,58.135000000000005,22.186160781437156,4.918571428571427,3.205,4.713371906106574,46.46499999999998,37.385,28.230944219746913,9.635000000000002,6.96,8.57503509748368,43.901428571428575,51.545,24.391022893724603
model_C-vad_MN-embedding_TL-audio_RAW-speaker_AUTO-overlap_OVERLAP-params_OLD,55.527857142857144,45.44,20.24255045445358,2.4885714285714284,2.215,1.5819066253823488,47.93500000000001,40.86,21.44262675857816,5.1049999999999995,3.995,2.6936642186948476,46.95928571428572,56.39,20.9804705763335
