,precision,recall,f1-score,support
disengaged,0.3333333333333333,0.07692307692307693,0.125,13.0
engaged,0.7,0.9333333333333333,0.8,30.0
accuracy,0.6744186046511628,0.6744186046511628,0.6744186046511628,0.6744186046511628
macro avg,0.5166666666666666,0.5051282051282051,0.4625,43.0
weighted avg,0.5891472868217054,0.6744186046511628,0.5959302325581395,43.0
