,,,,,,,,,,,,,,,,,,,,,
Model Type,Audio Type,Speaker Mode,VAD,Embedding,Overlap Mode,DER Mean,DER Median,DER Std,FA Mean,FA Median,FA Std,Missed Mean,Missed Median,Missed Std,Confusion Mean,Confusion Median,Confusion Std,Correct Mean,Correct Median,Correct Std,
24,ClusteringDiarizer,raw_audios,auto_num-speakers,vad_marblenet,ecapa_tdnn,no_overlap,54.904286,47.29,21.957807,2.905714,2.385,1.918227,44.573571,37.39,22.733716,7.426429,5.32,5.618042,47.999286,54.96,22.681272
25,ClusteringDiarizer,raw_audios,auto_num-speakers,vad_marblenet,ecapa_tdnn,overlap,57.400714,48.23,20.282515,2.488571,2.215,1.581907,47.935,40.86,21.442627,6.976429,4.915,5.637676,45.086429,53.705,20.938666
26,ClusteringDiarizer,raw_audios,auto_num-speakers,vad_marblenet,titanet_large,no_overlap,53.055,42.605,21.755669,2.905714,2.385,1.918227,44.573571,37.39,22.733716,5.577143,4.36,2.904904,49.849286,59.45,22.515797
27,ClusteringDiarizer,raw_audios,auto_num-speakers,vad_marblenet,titanet_large,overlap,55.527857,45.44,20.24255,2.488571,2.215,1.581907,47.935,40.86,21.442627,5.105,3.995,2.693664,46.959286,56.39,20.980471
28,ClusteringDiarizer,raw_audios,auto_num-speakers,vad_multilingual_marblenet,ecapa_tdnn,no_overlap,61.77,61.445,22.108147,0.598571,0.58,0.441324,55.799286,56.655,22.563821,5.374286,3.505,3.806094,38.827143,39.02,22.409023
29,ClusteringDiarizer,raw_audios,auto_num-speakers,vad_multilingual_marblenet,ecapa_tdnn,overlap,64.083571,63.55,20.459568,0.510714,0.495,0.36827,58.567857,59.01,21.286253,5.002143,3.295,3.795508,36.428571,36.865,20.723377
30,ClusteringDiarizer,raw_audios,auto_num-speakers,vad_multilingual_marblenet,titanet_large,no_overlap,60.049286,59.535,21.314289,0.598571,0.58,0.441324,55.799286,56.655,22.563821,3.652857,2.525,2.638847,40.548571,40.895,21.602351
31,ClusteringDiarizer,raw_audios,auto_num-speakers,vad_multilingual_marblenet,titanet_large,overlap,62.401429,62.08,19.882501,0.510714,0.495,0.36827,58.567857,59.01,21.286253,3.32,2.32,2.600648,38.11,38.3,20.140605
32,ClusteringDiarizer,raw_audios,auto_num-speakers,vad_telephony_marblenet,ecapa_tdnn,no_overlap,56.86,55.24,26.165406,4.918571,3.205,4.713372,46.465,37.385,28.230944,5.479286,4.275,3.494595,48.057857,56.8,28.138437
33,ClusteringDiarizer,raw_audios,auto_num-speakers,vad_telephony_marblenet,ecapa_tdnn,overlap,59.515714,57.8,24.158598,4.327143,2.9,4.349123,50.098571,42.8,26.288168,5.087857,3.63,3.427125,44.812143,52.045,25.954313
34,ClusteringDiarizer,raw_audios,auto_num-speakers,vad_telephony_marblenet,titanet_large,no_overlap,57.680714,56.475,25.396665,4.918571,3.205,4.713372,46.465,37.385,28.230944,6.296429,5.235,4.378763,47.239286,53.63,27.082332
35,ClusteringDiarizer,raw_audios,auto_num-speakers,vad_telephony_marblenet,titanet_large,overlap,60.061429,59.22,23.650521,4.327143,2.9,4.349123,50.098571,42.8,26.288168,5.634286,4.775,3.934629,44.265714,49.28,25.182382
36,ClusteringDiarizer,raw_audios,fixed_num-speakers,vad_marblenet,ecapa_tdnn,no_overlap,57.417857,49.6,20.491126,2.905714,2.385,1.918227,44.573571,37.39,22.733716,9.940714,7.895,6.684627,45.487143,54.18,20.868217
37,ClusteringDiarizer,raw_audios,fixed_num-speakers,vad_marblenet,ecapa_tdnn,overlap,59.695,51.055,19.046219,2.488571,2.215,1.581907,47.935,40.86,21.442627,9.27,6.835,6.422023,42.794286,51.26,19.433775
38,ClusteringDiarizer,raw_audios,fixed_num-speakers,vad_marblenet,titanet_large,no_overlap,55.826429,47.85,20.354254,2.905714,2.385,1.918227,44.573571,37.39,22.733716,8.346429,6.825,6.378954,47.079286,54.595,20.85226
39,ClusteringDiarizer,raw_audios,fixed_num-speakers,vad_marblenet,titanet_large,overlap,58.045,50.395,19.098765,2.488571,2.215,1.581907,47.935,40.86,21.442627,7.623571,5.8,5.67362,44.440714,52.855,19.639636
40,ClusteringDiarizer,raw_audios,fixed_num-speakers,vad_multilingual_marblenet,ecapa_tdnn,no_overlap,66.005714,67.985,20.055937,0.598571,0.58,0.441324,55.799286,56.655,22.563821,9.609286,9.745,4.710705,34.592143,32.48,20.319031
41,ClusteringDiarizer,raw_audios,fixed_num-speakers,vad_multilingual_marblenet,ecapa_tdnn,overlap,67.883571,69.315,18.803241,0.510714,0.495,0.36827,58.567857,59.01,21.286253,8.803571,9.32,4.089427,32.627857,31.085,19.039194
42,ClusteringDiarizer,raw_audios,fixed_num-speakers,vad_multilingual_marblenet,titanet_large,no_overlap,64.690714,64.84,19.628219,0.598571,0.58,0.441324,55.799286,56.655,22.563821,8.294286,7.245,6.378305,35.907857,35.63,19.846556
43,ClusteringDiarizer,raw_audios,fixed_num-speakers,vad_multilingual_marblenet,titanet_large,overlap,66.611429,67.035,18.765054,0.510714,0.495,0.36827,58.567857,59.01,21.286253,7.532143,6.565,5.710718,33.9,33.38,18.968236
44,ClusteringDiarizer,raw_audios,fixed_num-speakers,vad_telephony_marblenet,ecapa_tdnn,no_overlap,61.019286,58.135,22.186161,4.918571,3.205,4.713372,46.465,37.385,28.230944,9.635,6.96,8.575035,43.901429,51.545,24.391023
45,ClusteringDiarizer,raw_audios,fixed_num-speakers,vad_telephony_marblenet,ecapa_tdnn,overlap,63.52,58.78,20.408674,4.327143,2.9,4.349123,50.098571,42.8,26.288168,9.095714,6.73,8.33486,40.805714,48.495,22.468475
46,ClusteringDiarizer,raw_audios,fixed_num-speakers,vad_telephony_marblenet,titanet_large,no_overlap,58.575714,56.17,23.189276,4.918571,3.205,4.713372,46.465,37.385,28.230944,7.191429,5.94,4.861055,46.343571,54.805,24.935843
47,ClusteringDiarizer,raw_audios,fixed_num-speakers,vad_telephony_marblenet,titanet_large,overlap,61.056429,59.485,21.679021,4.327143,2.9,4.349123,50.098571,42.8,26.288168,6.632857,5.235,4.474731,43.27,50.425,23.299272
