video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,47.75,21.67,15.79,10.29,73.92
p5-s10,56.83,31.93,9.83,15.07,75.1
p7-s8,55.73,6.24,23.62,25.88,50.51
p7-s16,49.73,18.53,16.08,15.12,68.81
p9-s3-1,74.79,17.41,38.32,19.06,42.62
p9-s9,56.18,8.48,19.8,27.89,52.31
p11-s4,44.4,24.29,11.04,9.07,79.89
p11-s11,30.66,17.21,5.17,8.27,86.56
p12-s3,55.75,22.43,12.23,21.1,66.68
p12-s6,88.84,58.3,9.69,20.85,69.46
p17-s2,43.63,19.18,11.5,12.94,75.56
p17-s6,41.98,15.01,19.12,7.86,73.03
p18-s15,24.95,9.83,10.91,4.2,84.88
p18-s17,22.43,9.49,8.75,4.19,87.06
