SlNo,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,start_time,end_time,label
10,35.260735,0.11982566,34.463478,35.719833,37.58268,3.1192017,414.3736,730.64856,24.40237,14.442595,0.22959323,0.8827081,0.04345381,0.17578307,0.4023124,0.3588586,4.906647,2.1980138,2.8065355,1.9531367,0.110524565,1.0932,17.790651,1.3250006,18.467579,0.62479043,-0.20389144,-64.43756,-4.6346445,-3.7818415,0.02655455,1.8261026,1.4160516,0.80153483,8.656603,0.420796,13.472059,0.74785423,37.98848,0.2780546,745.89844,0.25202495,1400.0739,0.16368206,-96.95322,-0.9287598,1871.187,0.12595221,1159.3701,0.2875737,-105.60888,-0.73889357,2972.9226,0.08752408,1077.0808,0.23376438,-107.9673,-0.7028685,-22.559715,-0.51122534,33.501537,0.36700487,0.07540159,0.27781546,-0.020349605,-0.7985192,0.17636691,0.68981844,31.08226,0.4708533,19.932762,0.6019574,1.5985668,9.315571,-13.292388,-1.1765871,-6.4901047,13.699331,0.042768434,0.015604035,0.026570372,3.3185842,2.9082775,0.18538462,0.1184915,0.13538462,0.19676675,-28.982117,91.666667,96.2,disengaged
11,36.494675,0.019166278,35.87608,36.64508,37.053333,1.1772537,4.0969143,4.208876,15.508292,5.190351,0.2996863,0.75791425,0.0051837233,0.3205529,0.4998405,0.49465677,2.7448316,0.804558,2.0196087,1.7884172,0.12584822,1.2118907,20.184244,1.2544669,14.632641,0.81299454,-4.235558,-3.287108,-14.404448,-1.3083684,0.011605339,0.759102,0.6783593,0.5027463,10.919037,0.23997857,3.6348202,3.0393417,34.76009,0.24672158,700.4362,0.2164048,1373.1595,0.15839446,-82.5012,-1.0911821,1866.4719,0.13353643,1173.37,0.20268703,-89.86977,-0.85517734,2969.975,0.09697702,1001.74963,0.27722248,-92.81718,-0.8031107,-22.9721,-0.30418158,35.0659,0.23459871,0.0785274,0.19445293,-0.029385114,-0.3405855,0.18656178,0.8549419,35.67637,0.3000882,14.797592,0.6552288,-5.2730308,-3.0324671,-26.470066,-0.37019554,2.658842,4.5732517,0.03593256,0.045660015,0.000817813,4.3478265,1.1627908,0.57,0,0.26999998,0,-28.643816,96.233333,97.166667,engaged
12,36.149292,0.12726158,34.97947,36.075634,37.51802,2.5385513,869.8373,1498.5331,52.14556,57.63801,0.30637345,0.8120494,0.07178044,0.26865262,0.53917056,0.46739012,5.8510933,3.0364847,3.376587,1.9745767,0.137878,0.9252852,24.978872,0.77136636,11.075903,1.1740729,-4.3832307,-3.8425853,-7.754853,-1.8238115,0.03663543,2.4655266,1.2711697,0.84873885,8.916138,0.4203591,6.604945,1.7049135,33.47914,0.40510905,713.87134,0.25727758,1397.5402,0.16294333,-73.77908,-1.1666608,1775.6212,0.14121138,1171.5498,0.24591437,-80.68158,-0.95721024,2921.9338,0.08744796,1023.03394,0.29257426,-87.23422,-0.8274069,-19.24283,-0.6014685,33.556213,0.32844737,0.06914436,0.2971787,-0.014905959,-1.0832133,0.18279435,0.67423,32.386936,0.39865237,11.334062,1.2724832,-6.7661705,-2.8068094,-13.148064,-0.95135725,-8.618705,17.134212,0.037120752,0.017012602,0.034511995,3.90625,2.7667985,0.24071428,0.22682479,0.109230764,0.15334533,-27.949345,97.2,102.333333,disengaged
13,37.272324,0.07226834,34.456753,37.481483,39.991753,5.535,65.37414,30.983835,20.634295,9.099731,0.036104795,2.1252778,0.004504091,0.005314177,0.028452039,0.023947947,2.1182568,2.5316858,1.1760057,1.2539978,0.014644219,3.6877756,2.7351701,4.680305,9.063214,0.7741052,2.3692694,2.744699,3.1327536,4.3676767,0.017792482,0.91294384,1.3034371,0.9270552,10.66658,0.3566708,18.783537,0.39037463,40.308773,0.17977712,841.3708,0.16872734,1446.8286,0.15502729,-186.3824,-0.2553326,1972.9719,0.08657113,1305.4722,0.18146779,-187.33063,-0.22894073,3023.9656,0.05274645,1103.2871,0.24032077,-187.37,-0.22831464,-28.749796,-0.2741537,40.329086,0.25519773,0.063536994,0.31801572,-0.020719409,-0.6232648,0.13204946,1.0450757,33.033005,0.26631328,23.627928,0.2934067,4.1059017,1.5803282,-19.977789,-0.5276993,-5.3553452,15.036959,0.018030081,0.035436902,0.003680055,1.216545,0.48959607,0.17,0.119791485,1.8525,2.6216824,-39.587708,102.366667,110.6,engaged
14,43.431583,0.15148215,39.434963,41.56777,48.534664,9.099701,60.120636,13.47967,225.00586,354.99673,0.099436454,1.0632354,0.0057744253,0.06023364,0.22322877,0.21745434,1.8095143,0.9543713,1.6267955,1.0809281,0.027887862,1.4165087,8.737542,2.6914206,6.9537,1.2516152,-4.301105,-3.0620108,-10.731132,-1.8636264,0.022234453,1.4416587,0.9355652,1.0224315,10.874192,0.72299373,9.11173,3.8251903,29.168743,1.2382587,865.4153,0.13225724,1115.289,0.19555722,-145.4461,-0.5583527,1975.4846,0.07925044,1030.09,0.1315911,-148.20645,-0.4808795,3035.2498,0.067819774,935.882,0.49742493,-148.46936,-0.4722313,-21.717577,-0.6390441,36.756367,0.41913238,0.07207682,0.42858744,-0.017406488,-1.1708639,0.05742806,0.807851,27.336332,0.62220514,8.441015,1.1441137,-10.534101,-1.3396835,-29.977013,-0.553853,-2.4468853,12.767482,0.031467907,0.02697545,0.012809188,3.7190084,2.1097047,0.156,0.1711841,0.24666665,0.123107895,-37.610252,110.633333,113.066667,disengaged
15,40.731358,0.05461595,38.972683,40.32764,42.958157,3.9854736,23.394194,7.541648,45.23705,18.41531,0.13287422,1.1763251,0.0055688657,0.024725156,0.30026305,0.2946942,2.3067033,2.1192186,1.7561499,1.7639576,0.029585954,1.4965842,7.7502465,2.5225506,10.139831,0.8044137,-1.2920794,-7.4165654,-14.614494,-1.5854824,0.010379453,1.7017707,0.5936474,1.428595,13.874168,0.21984199,20.113182,0.5061658,39.175297,0.22106218,777.02484,0.18750258,1290.732,0.13861884,-142.21649,-0.5940559,1900.8813,0.0950636,1135.9839,0.23038745,-145.82404,-0.50986326,3008.468,0.056283828,829.8621,0.3073253,-146.03137,-0.50662947,-25.290052,-0.38875002,36.147278,0.2629524,0.07386964,0.20026484,-0.029666444,-0.53103507,0.06879782,0.6454103,30.196482,0.29412025,16.034338,0.48034456,-7.996204,-1.2964733,-40.65164,-0.32360083,-1.5764118,10.297116,0.035893142,0.027986689,0.0086586885,1.3175231,0.7968128,0.4283333,0.22908635,0.69,0.4300498,-34.379337,113.1,120.7,engaged
16,35.31602,0.12297267,33.614178,35.908424,39.733177,6.1189995,107.51655,71.09364,42.642815,26.291246,0.28673226,0.93476814,0.053785823,0.19763272,0.55239314,0.4986073,5.9445524,3.1473796,4.267921,2.4555326,0.15411502,1.1387045,19.960724,1.0034283,13.823977,0.91954607,-3.9016685,-3.2618642,-9.864708,-1.5973364,0.03132543,1.6525044,1.6199515,0.840857,9.20396,0.41810548,8.529554,1.483948,35.716797,0.35519436,749.042,0.24135554,1375.0198,0.15096588,-106.158424,-0.8608868,1859.2103,0.1356103,1219.9642,0.3523554,-111.95353,-0.7454907,2944.0527,0.09808086,1109.7921,0.4395063,-114.84374,-0.69976765,-23.834675,-0.3645952,34.418194,0.26928318,0.07518996,0.19111493,-0.027990986,-0.4570651,0.25659597,0.71163875,31.28479,0.33119762,15.184277,0.8038063,-4.057721,-3.6975076,-19.74705,-0.6908077,-9.88603,18.457829,0.047184393,0.008500357,0.05128953,3.5087721,2.857143,0.17,0.09874208,0.18142857,0.21108082,-25.641567,120.733333,123.6,disengaged
17,35.904285,0.07441476,34.462242,35.77883,37.726273,3.2640305,134.08122,142.21796,30.051327,28.588362,0.2717288,0.9097202,0.03258884,0.2062487,0.48222026,0.44963142,5.624665,3.1294188,4.079861,2.2906125,0.13138576,1.1026521,19.31844,1.0533788,11.7462635,1.1145257,-4.9842324,-3.2414043,-7.794803,-1.9951417,0.02137994,1.3967245,1.2860588,0.78604835,8.51714,0.417751,8.765208,1.3913581,36.124043,0.3184897,735.24316,0.26222172,1402.5825,0.14278263,-102.86221,-0.8897014,1819.661,0.14247376,1210.973,0.26481986,-107.32398,-0.7671104,2946.4373,0.08882944,1075.1868,0.2564948,-111.78618,-0.6965481,-19.460743,-0.5784015,34.210835,0.2684947,0.07790594,0.23195201,-0.019123109,-0.8754057,0.21110971,0.68249696,32.054054,0.3196551,12.653127,1.152257,-7.5499716,-2.421661,-16.454227,-0.8057033,-6.393478,15.216367,0.043701258,0.015413421,0.03609013,3.5126235,2.6997247,0.19163264,0.16999814,0.16145834,0.22240156,-28.789743,123.633333,141.866667,engaged
18,36.4634,0.10155002,35.24327,36.816227,39.27346,4.0301895,697.6372,591.0778,46.850468,54.608288,0.41522798,0.5628329,0.24805884,0.34974125,0.6578055,0.40974665,5.2710133,3.6099288,2.8013923,1.9231565,0.20775944,0.6519881,30.026573,0.3727197,14.556481,0.96656203,2.3284032,8.191535,-20.386026,-0.66557366,0.01847315,1.06963,1.1487657,0.8485189,9.682988,0.40864137,6.8281584,1.7513709,32.554653,0.2533861,831.4906,0.2264976,1351.4073,0.13517126,-56.099926,-1.1766678,1931.8296,0.12696089,1281.3182,0.40329105,-66.48182,-0.9050522,3012.0874,0.07381819,1189.963,0.56641865,-70.25707,-0.809522,-21.368958,-0.55449086,35.64685,0.3113711,0.06045908,0.2474167,-0.02001648,-0.8465023,0.24126083,0.5787252,31.852438,0.29508853,12.317507,1.2144023,-1.0645046,-18.651297,-20.940708,-0.6486596,-15.772977,24.587324,0.04904591,-0.007411268,0.10392103,7.058824,3.7974684,0.20666665,0.10656244,0.06,0,-24.148245,141.9,142.766667,disengaged
19,40.525097,0.07166667,38.660355,40.23076,42.6384,3.9780464,76.71658,110.52737,23.694427,22.742216,0.21890317,1.1188254,0.009221549,0.13682562,0.40104187,0.3918203,3.9394248,2.7691343,1.9882171,1.3773316,0.057944886,1.7748085,14.798623,1.1549251,11.094673,0.98877555,-2.7994044,-4.424763,-18.820902,-1.2108481,0.011142087,1.822135,0.72454077,1.2817467,13.367031,0.2617548,14.152878,0.7294625,34.496742,0.29797512,802.4848,0.16997296,1279.4808,0.17259035,-108.32095,-0.83565545,1913.5428,0.09266279,1065.0873,0.25400022,-115.44618,-0.68551826,3012.1436,0.05450393,816.2658,0.39384568,-116.46707,-0.6698701,-23.212141,-0.39272335,34.53837,0.30760753,0.066050865,0.31122136,-0.026905984,-0.60280025,0.09763094,1.2726418,26.972101,0.39896145,13.848602,0.854783,-6.843075,-2.0379586,-33.61861,-0.5656743,-4.725588,13.187081,0.033370115,0.020153172,0.012203143,1.7799354,1.6220601,0.31524998,0.24426408,0.30378377,0.5128371,-30.036339,142.8,167.533333,engaged
20,39.612873,0.101402424,37.178402,38.38433,42.0498,4.871399,610.88007,750.84204,56.532894,37.586628,0.44256982,0.8491348,0.03095112,0.36362514,0.85043824,0.8194871,6.5561686,3.1010294,3.1454623,2.2736044,0.1560283,1.2446083,18.510962,0.51870286,7.3175335,1.4498646,-9.585199,-1.351787,-33.070084,-0.717316,0.012653166,1.5496455,0.92242295,1.2261934,11.750566,0.26664892,3.4856243,3.4758768,29.355118,0.39671978,791.1292,0.12277165,1284.7373,0.1400009,-91.25662,-1.0815518,1913.241,0.098950125,1165.7863,0.25179932,-102.53739,-0.816226,2944.8362,0.04883721,658.5616,0.3837096,-102.13409,-0.81818885,-20.11059,-0.41713926,30.208857,0.19442064,0.08232226,0.2552993,-0.04117744,-0.29937994,0.24921043,0.84626764,24.041769,0.18240182,6.963469,1.4499028,-15.456702,-0.72616446,-50.22131,-0.2896934,-10.043686,17.157137,0.041643064,-0.006721525,0.037549213,2.793296,2.3121388,0.2375,0.16482946,0.23666665,0.1302135,-24.359379,167.566667,169.366667,disengaged
21,40.514168,0.07575414,38.8447,40.84261,42.15049,3.30579,421.73483,810.2318,-1.1732508,26.074594,0.3560977,0.9186508,0.038524203,0.26316842,0.65814435,0.61962014,4.650583,2.6015244,2.5835807,1.5175296,0.09677255,1.3996503,12.399893,1.4501874,9.109636,1.385729,-6.3827524,-2.0801516,-27.551933,-0.7898755,0.010572897,2.1146822,0.71722186,1.1973816,13.103426,0.23494828,9.607391,1.173787,30.487513,0.31480557,778.87067,0.17060788,1252.398,0.16509975,-93.282234,-1.0115836,1906.643,0.10691408,1001.75964,0.27505937,-99.722626,-0.8235828,2982.8616,0.05511108,788.1026,0.4763585,-100.953926,-0.7998636,-19.79039,-0.42119145,29.308733,0.3125395,0.06765883,0.25821626,-0.031454954,-0.4608249,0.15091158,1.0058343,23.01167,0.4116067,6.9767094,2.1175418,-11.316762,-1.1843116,-40.639072,-0.40025648,-3.2615216,10.491994,0.042133845,0.0066929134,0.01867605,1.691332,1.6265913,0.3552174,0.18341848,0.26142856,0.26744443,-26.974522,169.4,183.6,engaged
22,36.14211,0.13603164,33.032776,35.250397,39.364223,6.3314476,1392.3776,1106.5074,-0.38095665,8.394937,0.13798462,1.3618497,0.0046688947,0.046242364,0.28005514,0.27538624,3.786099,2.3894897,3.509121,4.5220637,0.06400873,1.6930333,11.469126,1.507394,12.317535,0.9457289,2.051307,6.1585345,-3.5025845,-3.9316242,0.014655309,0.93451196,1.287997,0.8559836,9.341679,0.37781188,8.299472,1.7641531,35.26629,0.32489076,728.41125,0.24932869,1441.799,0.15549338,-139.68669,-0.6113732,1833.3313,0.116790265,1206.2604,0.23876823,-141.57817,-0.55157226,2936.394,0.08048475,1062.1859,0.30998328,-143.40074,-0.5268243,-23.97981,-0.40511638,35.957092,0.19031179,0.064889,0.24793032,-0.02284538,-0.6842425,0.16537578,0.78556955,31.594133,0.20364568,15.060342,1.0270287,-0.24027805,-66.84267,-15.829238,-0.7822357,-6.3759108,15.396164,0.029955916,0.027965127,0.012505652,1.8018018,1.8433181,0.17999999,0.1007472,0.3375,0.2441695,-32.080017,183.633333,185.866667,disengaged
23,36.087803,0.107118726,34.261246,35.10852,37.574493,3.3132477,59.7863,14.396011,-89.44282,89.87949,0.35552034,0.7406098,0.09227227,0.33258346,0.61530787,0.5230356,5.602567,3.660765,3.7161257,1.6576629,0.15345016,0.9323141,24.261234,0.7636519,6.2807198,2.2706568,-9.83042,-1.5693333,-12.721568,-1.0575906,0.022444041,1.8011088,1.257999,0.87731344,7.726575,0.53398836,8.415991,1.3713924,36.214474,0.35739204,773.1585,0.23034771,1345.759,0.14571089,-76.96331,-1.1715003,1828.6228,0.13648398,1187.5135,0.29418063,-84.918724,-0.9399098,2949.6724,0.08829016,988.4433,0.29846376,-90.35023,-0.8301541,-16.957214,-0.6981581,31.298613,0.33472618,0.07518903,0.20217817,-0.019834805,-0.9038229,0.2000969,0.6918406,32.253666,0.3718334,6.7620263,2.1033237,-10.878054,-1.4771228,-17.225775,-0.6807384,-6.7665067,17.26487,0.0551531,0.012675541,0.062170044,4.010025,3.2994926,0.18923075,0.19116893,0.118999995,0.1498299,-28.686378,185.9,189.9,engaged
24,35.997364,0.07201878,34.19037,35.364235,37.170826,2.9804573,162.99422,144.9969,10.551544,11.549371,0.31249633,0.53725684,0.16264911,0.30425432,0.4000015,0.23735239,5.639616,3.5924504,3.9627707,1.5784984,0.14357457,0.680953,26.51576,0.50235575,13.786174,1.0687319,-5.882805,-2.9316983,-12.407578,-1.1656328,0.03977245,1.6830122,1.5432056,0.56889105,7.04169,0.5438835,10.313359,1.0600917,35.029633,0.29832864,768.394,0.24689233,1384.2565,0.1510203,-51.55037,-1.3169839,1807.1877,0.1356246,1067.2906,0.17095126,-60.63432,-1.0430655,2955.0295,0.07440808,1008.027,0.5110185,-68.89987,-0.82402736,-17.837885,-0.70058435,32.512016,0.23130046,0.07118851,0.26906455,-0.012538932,-1.5426074,0.16475803,0.5903812,30.82782,0.23344485,12.527686,1.2341775,-7.7728477,-2.420298,-16.658504,-0.7782084,-20.304802,29.992142,0.056791667,-0.00376902,0.11573838,4,5.714286,0.13,0.0484768,0.04,0,-31.148151,189.933333,190.7,disengaged
25,37.664005,0.10348754,34.804676,35.979248,42.56743,7.7627525,289.1495,360.65396,56.54286,54.43603,0.3451684,0.6704187,0.11812262,0.3217833,0.5563171,0.43819445,4.884575,2.4236856,2.17075,2.3547666,0.14315447,0.86773807,21.272375,0.91277295,10.475464,1.3031414,-6.949112,-2.4962296,-19.354565,-0.9112439,0.029729674,2.044052,1.0867493,0.8157292,8.687274,0.4579107,9.682153,1.1263137,34.85067,0.302315,776.0278,0.1869781,1348.7662,0.18592899,-69.652855,-1.212688,1871.98,0.11256111,1110.8567,0.2599236,-81.42063,-0.9027365,2981.9844,0.06527392,968.6335,0.358068,-85.2496,-0.83169365,-19.76957,-0.5121676,32.33016,0.29229835,0.075433806,0.1993477,-0.024628526,-0.71675193,0.18810329,0.60762304,30.297676,0.40797365,11.841119,1.1075766,-7.386068,-2.6131494,-25.264145,-0.6501132,-2.4286196,9.566759,0.049934816,0.0069838273,0.041313604,3.2941177,2.6252983,0.25636363,0.19955736,0.100909084,0.07267044,-28.53771,190.733333,195,engaged
26,38.67905,0.053938888,36.741898,38.552673,40.86216,4.120262,182.08476,238.63464,15.917322,15.010866,0.36023137,0.60792416,0.15179811,0.33620408,0.54345787,0.39165974,5.3912992,3.00061,4.2671304,1.8773072,0.16123702,0.7553898,25.582594,0.4587567,11.014622,1.0648873,-4.2761445,-3.331997,-22.499855,-0.82019335,0.015735893,1.0839207,1.191162,0.8571097,9.941072,0.3543385,9.727177,1.3415278,33.80541,0.22694711,727.8856,0.21603851,1321.2686,0.12507047,-56.579422,-1.2961695,1814.3324,0.11219633,1107.6742,0.3417285,-66.06636,-0.93418926,2918.3298,0.07238465,961.2889,0.3838409,-71.2897,-0.8254331,-20.743414,-0.43882436,31.149729,0.320322,0.05924027,0.31674215,-0.027771229,-0.58735114,0.18640997,0.661558,27.611517,0.36271548,9.473375,1.1810697,-5.9081526,-2.5383625,-26.9459,-0.6297903,-14.175464,23.288956,0.04633185,-0.0077218134,0.06606579,4.897959,3.3472805,0.2325,0.14095655,0.057142857,0.029137256,-28.265669,195.033333,197.5,disengaged
27,37.079926,0.081016965,35.996475,37.415855,39.491306,3.494831,16.516687,0,-74.11496,0,0.22161016,0.6999552,0.05804296,0.22529872,0.3341286,0.27608562,2.8312955,1.6441033,2.8559372,2.3009424,0.11202262,1.0376657,16.745295,0.92546827,18.707195,0.44634736,10.231116,0.85721797,-16.922146,-0.90973926,0.017837668,0.582245,1.5691615,1.0045325,9.203286,0.35638934,13.305807,0.4569096,29.256348,0.1597977,754.81104,0.17533173,1304.3564,0.12768155,-106.33565,-0.7745315,1914.9631,0.09009359,958.08575,0.284258,-113.75067,-0.65188134,2918.548,0.077498,746.90497,0.37198856,-112.29979,-0.67434895,-22.219791,-0.28211066,29.081167,0.26758832,0.050143555,0.42369324,-0.025332887,-0.40439814,0.14051038,0.8081036,24.883131,0.32476416,22.23659,0.23035575,14.191906,0.430998,-22.026741,-0.5543233,-5.9715705,13.122166,0.026117958,0.009495344,0.052912056,5.3333335,4.477612,0.103333324,0.054365024,0.13499999,0.085,-30.933777,197.533333,198.3,engaged
28,38.473423,0.061823606,36.848427,39.902206,40.102253,3.2538261,36.378284,4.191925,15.3386545,10.783401,0.20965081,0.5211292,0.11296644,0.21838373,0.29446957,0.18150312,1.6313891,0.86245525,1.5419697,1.4154956,0.055185165,0.9188931,24.268085,0.6422638,9.181711,1.4277047,-3.1895032,-4.542416,-13.942016,-1.2563517,0.017482737,0.683327,1.1451887,0.9400846,9.656649,0.56145936,6.7061896,1.347668,34.087788,0.27286604,832.06415,0.16040733,1292.6685,0.19270936,-62.90769,-1.2756844,1900.3098,0.07553817,1083.5721,0.19767317,-74.716515,-0.9459005,2994.2053,0.042787645,894.3283,0.25561845,-79.87699,-0.8448162,-21.515676,-0.49580792,33.937973,0.31600282,0.059540693,0.2520354,-0.027285136,-0.4500915,0.06623222,0.8152032,30.867685,0.28907052,8.570412,1.5605993,-4.58139,-3.5221608,-21.482773,-0.5298015,-2.123232,12.598719,0.027834982,0.024106707,0.02980318,3.2786884,2.586207,0.28,0.13490738,0.13499999,0.015,-34.604298,198.333333,199.566667,disengaged
29,40.858315,0.06583683,39.569813,41.178383,42.80442,3.2346077,143.61922,203.39613,15.668257,9.424709,0.20660305,1.1638116,0.0067578,0.098633945,0.3981467,0.3913889,4.610239,3.1780686,3.0566556,2.6862736,0.062492806,1.6449448,11.41182,1.3657299,9.185789,1.1047578,-3.1404502,-3.069419,-13.704758,-1.6217993,0.010225291,1.2024707,0.9354035,1.345066,13.03849,0.26113352,14.82909,0.68878,31.77331,0.25420588,812.6517,0.16642515,1250.6816,0.17576824,-126.40223,-0.69436604,1909.2778,0.083496496,1022.8622,0.24743411,-130.10594,-0.6108584,3011.4253,0.050371747,759.35004,0.3669354,-130.87343,-0.5998575,-22.23653,-0.4455552,32.01105,0.31927252,0.06579375,0.2504721,-0.026264146,-0.6286634,0.12459948,0.9677766,24.566479,0.36932597,10.165161,1.2431552,-6.638865,-1.7446063,-34.122887,-0.46269566,-4.651524,13.888428,0.030872315,0.019607725,0.011805892,1.8656718,1.5962442,0.2588235,0.15192422,0.3464706,0.3791157,-30.242249,199.6,210.333333,engaged
30,39.239223,0.07405682,36.683575,39.463356,42.025837,5.3422623,120.14113,81.51571,25.34163,0,0.24640141,0.96406466,0.025318995,0.20087247,0.4096927,0.38437372,2.2312343,0.85391384,2.9979458,2.0026248,0.09015168,1.3210745,19.132683,0.67804533,10.644714,0.8268034,-8.830296,-1.7094367,-25.390606,-0.88641894,0.0155681195,1.2331479,0.89849603,0.7535452,10.515389,0.26643813,3.9630127,2.9278326,33.592888,0.2697458,739.6303,0.16690499,1369.1687,0.21004808,-118.94683,-0.7877899,1800.1296,0.14651528,1195.9952,0.2939797,-122.09414,-0.6741924,2959.0017,0.057121143,1008.83997,0.63267386,-124.73148,-0.6322883,-17.993397,-0.34717193,30.7728,0.22807513,0.07134906,0.14692332,-0.034151036,-0.3042128,0.17032418,0.8921545,26.260208,0.33187678,8.641874,1.0766892,-20.385574,-0.70211625,-42.934742,-0.2314198,-12.350033,19.888657,0.04725768,-0.008544064,0.034314465,1.904762,3,0.14333333,0.11264496,0.17,0.15121728,-29.591524,210.366667,211.433333,disengaged
31,39.68605,0.103359856,37.038124,39.84826,43.41589,6.3777657,96.623535,65.09801,25.307364,14.860349,0.3356185,0.87464166,0.047580257,0.26592737,0.65105975,0.6034795,5.5302997,3.8293986,4.6668463,1.9842132,0.13183317,1.3143817,16.99051,0.84702337,12.993504,0.8735396,-4.6002727,-2.3502939,-24.965164,-1.0199381,0.02803133,3.1453402,0.9670764,1.0860444,12.289962,0.28311297,13.815909,0.98729324,32.130978,0.31768662,781.3552,0.19435303,1281.5118,0.17677768,-95.972885,-0.9617658,1935.4034,0.10732761,1023.2937,0.21990532,-105.146935,-0.76138324,2997.4023,0.06611418,797.51,0.36980167,-104.88617,-0.7661334,-22.653341,-0.31251845,30.379429,0.30615446,0.07349541,0.24535097,-0.033614498,-0.3810991,0.19118705,0.95764047,25.018969,0.36880037,15.162569,0.7128085,-7.0257306,-1.806207,-40.669373,-0.52253234,-8.674825,16.9509,0.041343387,0.0028119269,0.05036287,2.7542374,2.1413276,0.257,0.18450202,0.20777778,0.20590061,-26.157986,211.466667,216.2,engaged
32,35.100075,0.07845879,34.168625,35.488434,36.60207,2.433445,96.899414,99.833885,40.423756,39.20714,0.237249,0.9845679,0.0061096568,0.17961337,0.4511466,0.44503695,4.820227,2.5431101,2.6083703,1.8930721,0.098423705,1.2006258,17.241556,1.2144287,12.159807,0.9819912,-4.7104006,-2.9128659,-8.1696005,-2.0466213,0.019738486,1.728879,1.1844127,0.8834432,9.091275,0.39265415,9.6487,1.0954388,37.84135,0.28972363,738.6857,0.27636644,1387.6603,0.17756686,-114.239365,-0.82196707,1836.2964,0.1415589,1228.3549,0.24624781,-119.0475,-0.7009448,2936.4194,0.07888926,1046.2533,0.26876053,-121.91785,-0.65966886,-20.128765,-0.47865173,33.92468,0.3261931,0.08214438,0.18671298,-0.022241568,-0.72396773,0.17333388,0.70198274,32.921833,0.30779436,13.348359,0.93229216,-5.4262023,-3.1054983,-18.595999,-0.8865533,-5.7036586,13.937594,0.04182248,0.019162925,0.030246729,2.777778,2.1126761,0.21555555,0.22121437,0.26874998,0.36305773,-29.629038,216.233333,220.566667,disengaged
