video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,20.2,3.06,10.68,6.46,82.86
p5-s10,17.44,4.48,1.56,11.4,87.04
p7-s8,40.04,5.07,7.27,27.7,65.02
p7-s16,23.52,11.31,2.45,9.76,87.79
p9-s3-1,60.08,16.2,20.98,22.9,56.13
p9-s9,26.24,2.79,9.28,14.17,76.55
p11-s4,17.84,8.54,1.43,7.87,90.7
p11-s11,19.76,5.97,0.98,12.81,86.21
p12-s3,62.44,14.21,1.56,46.67,51.76
p12-s6,44.97,4.53,5.91,34.53,59.56
p17-s2,18.64,9.98,0.54,8.11,91.34
p17-s6,32.35,3.57,2.03,26.74,71.22
p18-s15,10.21,3.06,1.5,5.65,92.84
p18-s17,26.12,0.85,0.53,24.74,74.74
