,precision,recall,f1-score,support
disengaged,0.5964912280701754,0.7083333333333334,0.6476190476190476,48.0
engaged,0.6410256410256411,0.5208333333333334,0.5747126436781609,48.0
accuracy,0.6145833333333334,0.6145833333333334,0.6145833333333334,0.6145833333333334
macro avg,0.6187584345479082,0.6145833333333334,0.6111658456486042,96.0
weighted avg,0.6187584345479082,0.6145833333333334,0.6111658456486043,96.0
