,precision,recall,f1-score,support
disengaged,0.375,0.9,0.5294117647058824,20.0
engaged,0.7142857142857143,0.14285714285714285,0.23809523809523808,35.0
accuracy,0.41818181818181815,0.41818181818181815,0.41818181818181815,0.41818181818181815
macro avg,0.5446428571428572,0.5214285714285715,0.3837535014005602,55.0
weighted avg,0.5909090909090909,0.41818181818181815,0.34402852049910876,55.0
