,precision,recall,f1-score,support
disengaged,0.8,0.3333333333333333,0.47058823529411764,12.0
engaged,0.7241379310344828,0.9545454545454546,0.8235294117647058,22.0
accuracy,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589
macro avg,0.7620689655172415,0.6439393939393939,0.6470588235294117,34.0
weighted avg,0.7509127789046653,0.7352941176470589,0.698961937716263,34.0
