train_loss,val_loss
0.6871415674686432,0.6676496863365173
0.6440484076738358,0.6449015140533447
0.6184758394956589,0.6270697116851807
0.5966413021087646,0.6155768036842346
0.5721228122711182,0.607718825340271
0.5535754263401031,0.6037812232971191
0.5183119550347328,0.6027219295501709
0.4767817482352257,0.605751633644104
0.48553069680929184,0.6124818921089172
0.45982369780540466,0.6236389875411987
0.4590010344982147,0.6328437328338623
0.42022671550512314,0.6451997756958008
0.4099666625261307,0.6575382947921753
0.3808005005121231,0.666659414768219
0.38715357333421707,0.6786448359489441
0.35919786244630814,0.6917674541473389
0.34653767198324203,0.708233118057251
