,precision,recall,f1-score,support
disengaged,0.5555555555555556,0.46875,0.5084745762711864,32.0
engaged,0.6222222222222222,0.7,0.6588235294117647,40.0
accuracy,0.5972222222222222,0.5972222222222222,0.5972222222222222,0.5972222222222222
macro avg,0.5888888888888889,0.584375,0.5836490528414755,72.0
weighted avg,0.5925925925925927,0.5972222222222222,0.5920017724603965,72.0
