Participant,Accuracy Mean,Accuracy Std,95 CI,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Mean,F1 Std,95 CI,AUROC Mean,AUROC Std,
p5,0.616911764705882,0.129001689857766,0.038912196964748,0.649816360110478,0.072816340943028,0.887272727272727,0.164844028460264,0.745508115073332,0.094469514041683,0.028495877392049,0.604242424242424,0.195361735070724,0.058929106454564
p7,0.637294685990338,0.049777680259154,0.015014988569747,0.645157675973615,0.031264801848386,0.796615384615385,0.084183513263141,0.711879213682492,0.047847580409802,0.014432791347506,0.676315789473684,0.074460804112937,0.02246043039429
p9,0.655632183908046,0.02384330314301,0.007192117477019,0.675,0.045643546458764,0.626666666666667,0.059628479399994,0.647550776583035,0.032102816828063,0.009683525331444,0.733460317460318,0.043563607011852,0.01314056938641
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,parent denoised,,,,,,,,,,,
