Participant,Accuracy Mean,Accuracy Std,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Mean,F1 Std,AUROC Mean,AUROC Std
p11,0.5460013670539986,0.07532197326669127,0.5838483596539863,0.05436653349435565,0.6744186046511628,0.09588617733994559,0.6248942146120517,0.06980352497597868,0.556752891431414,0.05838698650624879
p12,0.5376369327073552,0.06283479202499778,0.5747102206472521,0.04945902424045359,0.68,0.09082951062292476,0.6211809374912756,0.056608241885028145,0.5613004032258064,0.04379956437237298
p17,0.6566844919786097,0.05422602282723714,0.6680739893211289,0.04338386600911412,0.791578947368421,0.07458100877439305,0.7230396286699836,0.04557499322350862,0.6828320802005011,0.06053396901546305
p18,0.701328903654485,0.05782968639745495,0.7322848058142176,0.03705533565762699,0.897471264367816,0.047990398475992374,0.8061159673659674,0.03680397280149216,0.680185676392573,0.09819741855136899
p5,0.6348790322580645,0.06458067587653553,0.6768553909858258,0.04951394714662043,0.8533333333333333,0.059442802020245794,0.7536531896209782,0.04044907484878929,0.6195670995670995,0.05874547200476769
p7,0.5969696969696969,0.0562853806697173,0.6455666438824335,0.042673119276510775,0.7357894736842104,0.12574707499503157,0.6842021720969089,0.06584932101737569,0.5809919028340081,0.03454016141742389
p9,0.521,0.16661499198918311,0.5789987789987789,0.1810556875483789,0.49230769230769234,0.13973770865065344,0.5272354312354313,0.14327625392086235,0.5325757575757576,0.15943639536063756
