Hidden1,Hidden2,Dropout,LearningRate,WeightDecay,Accuracy,Engaged Precision,Engaged Recall,Engaged F1,Disengaged Precision,Disengaged Recall,Disengaged F1,AUROC
16,16,0.2,0.001,0.0,0.8216333845366103,0.8216333845366103,1.0,0.9020836006385601,0.0,0.0,0.0,0.7287768686817807
16,16,0.2,0.001,0.0001,0.8216333845366103,0.8216333845366103,1.0,0.9020836006385601,0.0,0.0,0.0,0.7286597156728648
16,16,0.2,0.0005,0.0,0.8216333845366103,0.8216333845366103,1.0,0.9020836006385601,0.0,0.0,0.0,0.7217775622571032
16,16,0.2,0.0005,0.0001,0.8216333845366103,0.8216333845366103,1.0,0.9020836006385601,0.0,0.0,0.0,0.7220395213942802
16,16,0.3,0.001,0.0,0.8216333845366103,0.8216333845366103,1.0,0.9020836006385601,0.0,0.0,0.0,0.7198026332613926
16,16,0.3,0.001,0.0001,0.8216333845366103,0.8216333845366103,1.0,0.9020836006385601,0.0,0.0,0.0,0.7220379343079552
16,16,0.3,0.0005,0.0,0.8216333845366103,0.8216333845366103,1.0,0.9020836006385601,0.0,0.0,0.0,0.71863847134449
16,16,0.3,0.0005,0.0001,0.8216333845366103,0.8216333845366103,1.0,0.9020836006385601,0.0,0.0,0.0,0.7208058547056567
16,16,0.4,0.001,0.0,0.8216333845366103,0.8216333845366103,1.0,0.9020836006385601,0.0,0.0,0.0,0.7213726785568982
16,16,0.4,0.001,0.0001,0.8216333845366103,0.8216333845366103,1.0,0.9020836006385601,0.0,0.0,0.0,0.7240712119744424
16,16,0.4,0.0005,0.0,0.8216333845366103,0.8216333845366103,1.0,0.9020836006385601,0.0,0.0,0.0,0.7218475381950767
16,16,0.4,0.0005,0.0001,0.8216333845366103,0.8216333845366103,1.0,0.9020836006385601,0.0,0.0,0.0,0.7243523928348632
16,16,0.5,0.001,0.0,0.8216333845366103,0.8216333845366103,1.0,0.9020836006385601,0.0,0.0,0.0,0.7192549489892787
16,16,0.5,0.001,0.0001,0.8216333845366103,0.8216333845366103,1.0,0.9020836006385601,0.0,0.0,0.0,0.7192566492174997
16,16,0.5,0.0005,0.0,0.8216333845366103,0.8216333845366103,1.0,0.9020836006385601,0.0,0.0,0.0,0.7226204771333252
16,16,0.5,0.0005,0.0001,0.8216333845366103,0.8216333845366103,1.0,0.9020836006385601,0.0,0.0,0.0,0.7273442706416153
