Participant,Fold,Accuracy,Precision,Recall,F1 Score,AUROC
p11,1,0.5194805194805194,0.5652173913043478,0.6046511627906976,0.5842696629213483,0.600889192886457
p11,2,0.6447368421052632,0.6538461538461539,0.7906976744186046,0.7157894736842105,0.6367159971811134
p11,3,0.6052631578947368,0.6274509803921569,0.7441860465116279,0.6808510638297872,0.5172656800563777
p11,4,0.4868421052631579,0.5454545454545454,0.5581395348837209,0.5517241379310345,0.5232558139534883
p11,5,0.47368421052631576,0.5272727272727272,0.6744186046511628,0.5918367346938775,0.5056377730796335
p12,1,0.5833333333333334,0.6086956521739131,0.7,0.6511627906976745,0.58671875
p12,2,0.5555555555555556,0.5909090909090909,0.65,0.6190476190476191,0.58671875
p12,3,0.43661971830985913,0.5,0.55,0.5238095238095238,0.5181451612903225
p12,4,0.5915492957746479,0.6222222222222222,0.7,0.6588235294117647,0.6048387096774194
p12,5,0.5211267605633803,0.5517241379310345,0.8,0.6530612244897959,0.5100806451612904
p17,1,0.6764705882352942,0.6956521739130435,0.8,0.7441860465116279,0.6571428571428571
p17,2,0.6470588235294118,0.6521739130434783,0.7894736842105263,0.7142857142857143,0.7473684210526316
p17,3,0.7352941176470589,0.7083333333333334,0.8947368421052632,0.7906976744186046,0.7473684210526315
p17,4,0.5882352941176471,0.6,0.7894736842105263,0.6818181818181818,0.643859649122807
p17,5,0.6363636363636364,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.618421052631579
p18,1,0.7209302325581395,0.7647058823529411,0.8666666666666667,0.8125,0.6038461538461539
p18,2,0.7619047619047619,0.7567567567567568,0.9655172413793104,0.8484848484848485,0.8222811671087533
p18,3,0.7380952380952381,0.75,0.9310344827586207,0.8307692307692308,0.7400530503978779
p18,4,0.6666666666666666,0.7142857142857143,0.8620689655172413,0.78125,0.6405835543766578
p18,5,0.6190476190476191,0.6756756756756757,0.8620689655172413,0.7575757575757576,0.5941644562334217
p5,1,0.59375,0.6428571428571429,0.8571428571428571,0.7346938775510204,0.5454545454545454
p5,2,0.6451612903225806,0.7083333333333334,0.8095238095238095,0.7555555555555555,0.6023809523809524
p5,3,0.7096774193548387,0.7391304347826086,0.85,0.7906976744186046,0.7022727272727272
p5,4,0.6774193548387096,0.6785714285714286,0.95,0.7916666666666666,0.6477272727272727
p5,5,0.5483870967741935,0.6153846153846154,0.8,0.6956521739130435,0.6000000000000001
p7,1,0.6060606060606061,0.6842105263157895,0.65,0.6666666666666666,0.5807692307692308
p7,2,0.6363636363636364,0.6818181818181818,0.75,0.7142857142857143,0.5903846153846154
p7,3,0.6363636363636364,0.6428571428571429,0.9,0.75,0.6076923076923078
p7,4,0.6060606060606061,0.64,0.8,0.7111111111111111,0.6038461538461539
p7,5,0.5,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5222672064777327
p9,1,0.48,0.5,0.46153846153846156,0.48,0.5160256410256411
p9,2,0.25,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.27622377622377625
p9,3,0.6666666666666666,0.7777777777777778,0.5384615384615384,0.6363636363636364,0.6853146853146853
p9,4,0.5833333333333334,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.541958041958042
p9,5,0.625,0.6428571428571429,0.6923076923076923,0.6666666666666666,0.6433566433566433
