Participant,Accuracy Mean,Accuracy Std,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Mean,F1 Std
p11,0.6284175084175084,0.049666780680377706,0.6545524699529816,0.03726796511503064,0.8964705882352941,0.06593935109430865,0.7551289231872319,0.03160063775996958
p12,0.6515239477503629,0.034275479084129645,0.6587963800904978,0.01709609811956465,0.9769747899159664,0.037286690593142546,0.7868461899595445,0.022920665140823006
p17,0.5308823529411765,0.10364778493435983,0.49102564102564095,0.29212769986925363,0.5333333333333333,0.3634539385288028,0.4862470862470863,0.29275619686198934
p18,0.7222816399286988,0.042156956959115054,0.7309171410499685,0.02806832989596523,0.976,0.05366563145999494,0.8350714627278041,0.02698815806339576
p5,0.7,0.040655781409087106,0.7060606060606059,0.029535740438815076,0.9866666666666667,0.029814239699997188,0.8229808756124546,0.028673407227307865
p7,0.675,0.06846531968814576,0.6925,0.024544460791705223,0.9454545454545455,0.12196734422726124,0.7972500929022668,0.05839364818331608
p9,0.6266666666666667,0.10297653454387881,0.6418181818181818,0.07374290832972091,0.8222222222222222,0.12668615834434868,0.7173684210526317,0.07474796062588286
