Participant,Accuracy,Precision,Recall,F1 Score
p11,0.6341463414634146,0.5652173913043478,0.7222222222222222,0.6341463414634146
p12,0.6021505376344086,0.65,0.5306122448979592,0.5842696629213483
p17,0.5333333333333333,0.5,0.5714285714285714,0.5333333333333333
p18,0.7282608695652174,0.7647058823529411,0.6046511627906976,0.6753246753246753
p5,0.7222222222222222,0.7857142857142857,0.6111111111111112,0.6875
p7,0.7083333333333334,0.7931034482758621,0.7419354838709677,0.7666666666666667
p9,0.7959183673469388,0.8076923076923077,0.8076923076923077,0.8076923076923077
