,precision,recall,f1-score,support
disengaged,0.2857142857142857,0.18181818181818182,0.2222222222222222,11.0
engaged,0.64,0.7619047619047619,0.6956521739130435,21.0
accuracy,0.5625,0.5625,0.5625,0.5625
macro avg,0.46285714285714286,0.47186147186147187,0.45893719806763283,32.0
weighted avg,0.5182142857142857,0.5625,0.5329106280193237,32.0
