train_loss,val_loss
0.7021733671426773,0.6831462979316711
0.6675402224063873,0.6635670065879822
0.6372647434473038,0.6478481292724609
0.6312632113695145,0.6324693560600281
0.6145188063383102,0.6205540895462036
0.6005011647939682,0.6109287738800049
0.5878657251596451,0.6025705337524414
0.5813992768526077,0.596115231513977
0.5640197396278381,0.5908246040344238
0.5420404523611069,0.5852063894271851
0.5293862074613571,0.5800559520721436
0.5131284147500992,0.5741475820541382
0.5082115083932877,0.5686554312705994
0.48814084380865097,0.5638492703437805
0.45833081007003784,0.5576459765434265
0.44471190869808197,0.5524017214775085
0.4257536455988884,0.5487893223762512
0.4032362923026085,0.5481658577919006
0.3792506083846092,0.5469704866409302
0.3558521792292595,0.5497264862060547
0.3466251343488693,0.5550084114074707
0.319970540702343,0.5567362308502197
0.2945941910147667,0.5561853647232056
0.3134770542383194,0.5543698668479919
0.2762536406517029,0.5616976022720337
0.2731712982058525,0.5734367370605469
0.2344960793852806,0.5927800536155701
0.20595943182706833,0.6237862706184387
0.18362556025385857,0.6455240249633789
