Hidden1,Hidden2,Dropout,LearningRate,WeightDecay,Accuracy,Precision,Recall,F1
16,16,0.2,0.001,0.0,0.4883333333333333,0.6083333333333333,0.4384615384615385,0.4192263855879417
16,16,0.2,0.001,0.0001,0.521,0.5373626373626375,0.7142857142857143,0.5984437184437185
16,16,0.2,0.0005,0.0,0.523,0.46859903381642515,0.5340659340659341,0.4803975236233301
16,16,0.2,0.0005,0.0001,0.5043333333333333,0.5318822055137844,0.7296703296703297,0.5890493124703651
16,16,0.3,0.001,0.0,0.4536666666666667,0.4559047619047619,0.498901098901099,0.45537740903984103
16,16,0.3,0.001,0.0001,0.5690000000000001,0.5804996186117467,0.8241758241758241,0.6601661444052749
16,16,0.3,0.0005,0.0,0.5203333333333333,0.5823625730994152,0.710989010989011,0.6046052631578946
16,16,0.3,0.0005,0.0001,0.489,0.5939792663476873,0.4758241758241758,0.43637387387387394
16,16,0.4,0.001,0.0,0.5283333333333333,0.5493892083149049,0.6428571428571428,0.5608897243107769
16,16,0.4,0.001,0.0001,0.5456666666666666,0.5539104170683119,0.6065934065934065,0.5652430842753423
16,16,0.4,0.0005,0.0,0.5196666666666667,0.5287518664909969,0.8340659340659341,0.6419611528822055
16,16,0.4,0.0005,0.0001,0.4946666666666667,0.4451616161616162,0.5,0.44730600695286604
16,16,0.5,0.001,0.0,0.514,0.5361904761904761,0.4736263736263736,0.4662337662337662
16,16,0.5,0.001,0.0001,0.44733333333333336,0.4721177944862155,0.5043956043956044,0.45304054054054055
16,16,0.5,0.0005,0.0,0.512,0.46704347826086956,0.6307692307692307,0.47865497076023394
16,16,0.5,0.0005,0.0001,0.5126666666666667,0.5365714285714286,0.701098901098901,0.5862817579064719
16,32,0.2,0.001,0.0,0.4953333333333333,0.442730179028133,0.4978021978021978,0.43999999999999995
16,32,0.2,0.001,0.0001,0.4543333333333333,0.5576923076923077,0.4395604395604395,0.4211583011583012
16,32,0.2,0.0005,0.0,0.5043333333333334,0.41428571428571426,0.421978021978022,0.4127786900200693
16,32,0.2,0.0005,0.0001,0.553,0.6559006211180124,0.478021978021978,0.4660523877915182
16,32,0.3,0.001,0.0,0.563,0.6068003341687552,0.6989010989010989,0.6338238374528699
16,32,0.3,0.001,0.0001,0.52,0.3403333333333333,0.5384615384615385,0.4127017127017127
16,32,0.3,0.0005,0.0,0.5946666666666667,0.6039930142097324,0.7868131868131869,0.6765029565029564
16,32,0.3,0.0005,0.0001,0.48100000000000004,0.5043894830659537,0.7175824175824176,0.5801553277415346
16,32,0.4,0.001,0.0,0.5126666666666666,0.5504102564102563,0.6065934065934067,0.5424697008221036
16,32,0.4,0.001,0.0001,0.543,0.4739348370927319,0.48571428571428565,0.44258312020460355
16,32,0.4,0.0005,0.0,0.5036666666666667,0.5316923076923077,0.532967032967033,0.4831058415268942
16,32,0.4,0.0005,0.0001,0.521,0.4393478260869565,0.5109890109890111,0.42734279918864093
16,32,0.5,0.001,0.0,0.488,0.55011655011655,0.48681318681318675,0.4707553707553707
16,32,0.5,0.001,0.0001,0.471,0.4980769230769231,0.46813186813186813,0.4702930122240467
16,32,0.5,0.0005,0.0,0.5056666666666666,0.5081698564593301,0.6505494505494506,0.5493511469373539
16,32,0.5,0.0005,0.0001,0.4963333333333333,0.458695652173913,0.5153846153846154,0.43725490196078437
16,64,0.2,0.001,0.0,0.5686666666666668,0.6975583098345246,0.5758241758241758,0.5388071188071188
16,64,0.2,0.001,0.0001,0.4883333333333333,0.601012987012987,0.5604395604395604,0.4796992481203007
16,64,0.2,0.0005,0.0,0.462,0.4833333333333333,0.4395604395604396,0.4172769215152049
16,64,0.2,0.0005,0.0001,0.545,0.5512484108822782,0.7417582417582418,0.6173439463762044
16,64,0.3,0.001,0.0,0.5126666666666667,0.6309005847953217,0.5472527472527473,0.48613031705136966
16,64,0.3,0.001,0.0001,0.4806666666666667,0.4873333333333333,0.6582417582417582,0.5336876311409419
16,64,0.3,0.0005,0.0,0.5206666666666667,0.5908008658008657,0.4967032967032967,0.49428571428571433
16,64,0.3,0.0005,0.0001,0.496,0.5166666666666666,0.578021978021978,0.49663807310866137
16,64,0.4,0.001,0.0,0.545,0.5553210678210678,0.7791208791208792,0.6299543210452462
16,64,0.4,0.001,0.0001,0.48966666666666664,0.5357398157398158,0.5945054945054945,0.5396266099491906
16,64,0.4,0.0005,0.0,0.45566666666666666,0.3828847481021394,0.5032967032967033,0.4205456095481671
16,64,0.4,0.0005,0.0001,0.45533333333333337,0.48342842400117936,0.6527472527472528,0.5378572560830626
16,64,0.5,0.001,0.0,0.47300000000000003,0.3902380952380952,0.36813186813186816,0.3444669821951769
16,64,0.5,0.001,0.0001,0.4803333333333334,0.46218115942028987,0.7076923076923076,0.5375447533662544
16,64,0.5,0.0005,0.0,0.5203333333333333,0.5558730158730159,0.49120879120879124,0.47824011027335833
16,64,0.5,0.0005,0.0001,0.48900000000000005,0.5166704057671887,0.6373626373626374,0.539039110267763
32,16,0.2,0.001,0.0,0.5043333333333333,0.42229946524064166,0.5725274725274725,0.4806498599439776
32,16,0.2,0.001,0.0001,0.5296666666666667,0.5881818181818181,0.6692307692307693,0.5988725868725868
32,16,0.2,0.0005,0.0,0.579,0.6797478991596638,0.6450549450549451,0.569462365591398
32,16,0.2,0.0005,0.0001,0.528,0.5507948717948719,0.8516483516483516,0.6576423860634387
32,16,0.3,0.001,0.0,0.554,0.5678571428571428,0.8021978021978022,0.6593490759008
32,16,0.3,0.001,0.0001,0.512,0.620376811594203,0.6802197802197802,0.5392697429849133
32,16,0.3,0.0005,0.0,0.4706666666666667,0.4333333333333333,0.2681318681318681,0.26777738390641614
32,16,0.3,0.0005,0.0001,0.5206666666666667,0.6261343873517786,0.6571428571428573,0.5197281081491607
32,16,0.4,0.001,0.0,0.5283333333333334,0.5569031273836765,0.6087912087912088,0.5254589371980676
