Participant,Best Hidden1,Best Hidden2,Best Dropout,Best LearningRate,Best WeightDecay,Accuracy Mean,Accuracy Std,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Mean,F1 Std,AUROC Mean,AUROC Std
p11,64,64,0.2,0.0005,0.0,0.6764705882352942,0.058823529411764684,0.6695270222784454,0.04589957447112981,0.9627705627705627,0.038306184944812034,0.7886247086247087,0.030574096933627847,0.6389194139194139,0.1420667353929485
p12,64,16,0.5,0.001,0.0,0.6216812723141837,0.06285085584273996,0.6085888938835577,0.04594247027337277,0.9318181818181819,0.05794340356355437,0.7343238739969631,0.030736466372088402,0.5986974789915965,0.07409772683203272
p17,128,16,0.2,0.001,0.0001,0.6166666666666668,0.049690399499995305,0.5960257172021878,0.03869405078886991,0.894736842105263,0.08321783316232577,0.7132148688670428,0.03271741743718948,0.6061958204334366,0.06685178631852053
p18,32,64,0.5,0.0005,0.0001,0.6386913229018492,0.040255668536402944,0.6357585139318885,0.028863603569632554,0.9746376811594203,0.03747855229271233,0.7690320645968237,0.02464115602551911,0.5651138716356108,0.10952444551236636
p5,16,64,0.4,0.001,0.0001,0.71,0.022360679774997918,0.7330065359477125,0.023779983872191338,0.9131868131868132,0.03141973286922157,0.812741935483871,0.015804702832818932,0.6816849816849817,0.10267156523562807
p7,16,64,0.3,0.0005,0.0,0.6032377428307123,0.055972813329346977,0.6056579223041891,0.03757911316550677,0.8715099715099714,0.07864744479565094,0.7136423339789398,0.04383563777442364,0.6023931623931624,0.031253793367220416
p9,32,32,0.4,0.0005,0.0001,0.6738095238095239,0.10817987270119503,0.6878092667566351,0.1383689119638576,0.6535947712418301,0.1113751188755031,0.6626324445679284,0.09869292165968421,0.6834078660704048,0.1302534384912438
