Participant,Total Samples,Engaged,Disengaged,Sessions,Speakers
p11,170,106,64,,
p12,394,220,174,,
p17,180,96,84,,
p18,188,116,72,,
p5,100,69,31,,
p7,232,132,100,,
p9,178,87,91,,
