,precision,recall,f1-score,support
disengaged,0.32,0.1951219512195122,0.24242424242424243,41.0
engaged,0.5285714285714286,0.6851851851851852,0.5967741935483871,54.0
accuracy,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.47368421052631576
macro avg,0.42428571428571427,0.44015356820234874,0.4195992179863148,95.0
weighted avg,0.4385563909774437,0.47368421052631576,0.44384421464217727,95.0
