Participant,Fold,Hidden1,Hidden2,Dropout,LearningRate,WeightDecay,Accuracy,Disengaged Precision,Disengaged Recall,Disengaged F1,Engaged Precision,Engaged Recall,Engaged F1,Macro Precision,Macro Recall,Macro F1,Weighted Precision,Weighted Recall,Weighted F1,AUROC
p11,1,16,16,0.2,0.001,0.0,0.581151832460733,0.4642857142857143,0.08227848101265822,0.13978494623655913,0.5903954802259888,0.9330357142857143,0.7231833910034602,0.5273405972558516,0.5076570976491863,0.43148416862000966,0.53823489640776,0.581151832460733,0.4818824635867838,0.6037805153707052
p11,2,16,16,0.2,0.001,0.0,0.6151832460732984,0.5486725663716814,0.3924050632911392,0.4575645756457565,0.6431226765799256,0.7723214285714286,0.7018255578093306,0.5958976214758035,0.582363245931284,0.5796950667275436,0.6040569241901284,0.6151832460732984,0.600796146338533,0.6456826401446654
p11,3,16,16,0.2,0.001,0.0,0.5863874345549738,0.0,0.0,0.0,0.5863874345549738,1.0,0.7392739273927392,0.2931937172774869,0.5,0.3696369636963696,0.3438502234039637,0.5863874345549738,0.4335009417172083,0.6112115732368897
p11,4,16,16,0.2,0.001,0.0,0.6430446194225722,0.6179775280898876,0.3503184713375796,0.44715447154471544,0.6506849315068494,0.8482142857142857,0.7364341085271318,0.6343312297983685,0.5992663785259327,0.5917942900359237,0.6372070776053717,0.6430446194225722,0.6172296386944826,0.671576433121019
p11,5,16,16,0.2,0.001,0.0,0.5879265091863517,0.0,0.0,0.0,0.5879265091863517,1.0,0.740495867768595,0.29396325459317585,0.5,0.3702479338842975,0.34565758020404935,0.5879265091863517,0.43535715060410834,0.6271894904458599
p11,1,16,16,0.2,0.001,0.0001,0.5837696335078534,0.48148148148148145,0.08227848101265822,0.14054054054054055,0.5915492957746479,0.9375,0.7253886010362695,0.5365153886280647,0.5098892405063291,0.432964570788405,0.5460238647319245,0.5837696335078534,0.48348809433908313,0.6036392405063291
p11,2,16,16,0.2,0.001,0.0001,0.6151832460732984,0.5486725663716814,0.3924050632911392,0.4575645756457565,0.6431226765799256,0.7723214285714286,0.7018255578093306,0.5958976214758035,0.582363245931284,0.5796950667275436,0.6040569241901284,0.6151832460732984,0.600796146338533,0.6463607594936709
p11,3,16,16,0.2,0.001,0.0001,0.5863874345549738,0.0,0.0,0.0,0.5863874345549738,1.0,0.7392739273927392,0.2931937172774869,0.5,0.3696369636963696,0.3438502234039637,0.5863874345549738,0.4335009417172083,0.6111550632911392
p11,4,16,16,0.2,0.001,0.0001,0.6456692913385826,0.6222222222222222,0.35668789808917195,0.4534412955465587,0.6529209621993127,0.8482142857142857,0.7378640776699029,0.6375715922107674,0.6024510919017289,0.5956526866082308,0.6402708252533725,0.6456692913385826,0.6206609889734067,0.6703821656050956
p11,5,16,16,0.2,0.001,0.0001,0.5879265091863517,0.0,0.0,0.0,0.5879265091863517,1.0,0.740495867768595,0.29396325459317585,0.5,0.3702479338842975,0.34565758020404935,0.5879265091863517,0.43535715060410834,0.6161851683348499
