,precision,recall,f1-score,support
disengaged,0.6206896551724138,0.5869565217391305,0.6033519553072626,92.0
engaged,0.6041666666666666,0.6373626373626373,0.6203208556149733,91.0
accuracy,0.6120218579234973,0.6120218579234973,0.6120218579234973,0.6120218579234973
macro avg,0.6124281609195402,0.6121595795508838,0.611836405461118,183.0
weighted avg,0.6124733056968783,0.6120218579234973,0.611790042345523,183.0
