Participant,Best Hidden1,Best Hidden2,Best Dropout,Best LearningRate,Best WeightDecay,Accuracy Mean,Accuracy Std,Disengaged Precision Mean,Disengaged Precision Std,Disengaged Recall Mean,Disengaged Recall Std,Disengaged F1 Mean,Disengaged F1 Std,Engaged Precision Mean,Engaged Precision Std,Engaged Recall Mean,Engaged Recall Std,Engaged F1 Mean,Engaged F1 Std,AUROC Mean,AUROC Std,Macro Precision Mean,Macro Precision Std,Macro Recall Mean,Macro Recall Std,Macro F1 Mean,Macro F1 Std,Weighted Precision Mean,Weighted Precision Std,Weighted Recall Mean,Weighted Recall Std,Weighted F1 Mean,Weighted F1 Std
p11,64,16,0.4,0.0005,0.0,0.6411573127319549,0.04266081858955439,0.656245053323705,0.024858121438220807,0.6007226738934055,0.14216481541068443,0.6195618280404306,0.0935713103799468,0.6355949278854662,0.05372165611620022,0.6825308641975308,0.0762975198671315,0.6538279453631404,0.02412166279152454,0.6806844026602132,0.05609562822598808,0.6459199906045857,0.034779174194094584,0.6416267690454683,0.04149559639331251,0.6366948867017854,0.050839874789329345,0.6460279320428624,0.0345444302457328,0.6411573127319549,0.04266081858955439,0.6364914002113942,0.0513619398858837
p12,128,16,0.3,0.0005,0.0001,0.6192444056960186,0.03907346212698409,0.6181653308182555,0.04894345688037106,0.6500800732097918,0.04181227557749728,0.6321369522756485,0.028204976261326304,0.6232074928506842,0.032174450058752455,0.5879616643291258,0.09021532371224728,0.6032215041257605,0.058164887481710593,0.6458151787531596,0.03794806336807999,0.6206864118344698,0.039014481643410384,0.6190208687694587,0.03926016508201296,0.6176792282007045,0.03970284555677358,0.6206621264623006,0.03905441500456393,0.6192444056960186,0.03907346212698409,0.6177807068862385,0.039624368527887144
p17,32,64,0.5,0.001,0.0,0.6025131502045589,0.0565409334293205,0.7214630467571643,0.16777353018587,0.45999999999999996,0.27796183623278664,0.4891077454226716,0.22600616415163796,0.5992811550151975,0.0815151621649067,0.7475862068965518,0.1870097633954759,0.648570360766473,0.03920205559760245,0.666286167261197,0.044000506732086116,0.660372100886181,0.06899684694987801,0.603793103448276,0.05682335940089122,0.5688390530945724,0.10382436042579296,0.6608293037456876,0.0689995141859761,0.6025131502045589,0.0565409334293205,0.5683314152274341,0.10379720438811203
p18,32,32,0.4,0.0005,0.0,0.6549570647931303,0.02726238819794984,0.6512054122909187,0.02563909839848134,0.6804347826086957,0.06458022077179541,0.6642236377597202,0.03649504216040501,0.6618850759717436,0.03610598439513197,0.6293040293040293,0.04992991848977953,0.6436640309124315,0.028482967989484593,0.6740075383553644,0.040083430826706574,0.6565452441313312,0.026815500810744235,0.6548694059563624,0.027102678723863804,0.653943834336076,0.027522700062365422,0.6565401770114511,0.02675823435697115,0.6549570647931303,0.02726238819794984,0.6539859830850914,0.027573590073344596
p5,64,32,0.5,0.0005,0.0001,0.6925150905432595,0.09380362828704061,0.6930769230769231,0.08054615227944355,0.6470588235294119,0.1530023425569283,0.6661326635667335,0.11758130727368196,0.6958988556662976,0.10638391277810452,0.7367867867867868,0.06042400988746768,0.7135700617894514,0.07768752689301806,0.724829913947561,0.07749407292361882,0.6944878893716103,0.0918422042112436,0.6919228051580993,0.09459496442451183,0.6898513626780924,0.0965876604334904,0.6947570674922694,0.09209879237056719,0.6925150905432595,0.09380362828704061,0.6902903610954979,0.09631582026274353
p7,32,32,0.2,0.001,0.0001,0.711798245614035,0.03836353140295014,0.700572323144016,0.04321015834863354,0.7402482269503545,0.0548670420466838,0.7190049099836334,0.03991057073975003,0.7267878787878789,0.04163254801448195,0.6833333333333333,0.05781015385629838,0.703326073512409,0.04072570112172802,0.7437536938534279,0.04273484638114085,0.7136801009659475,0.03864966598414115,0.7117907801418439,0.03837536486261228,0.711165491748021,0.03838086026228795,0.7136875664381385,0.03863746022155207,0.711798245614035,0.03836353140295014,0.7111729572202122,0.03836918057533405
p9,128,16,0.4,0.001,0.0,0.6529639175257732,0.05679667433594973,0.6499842433237438,0.05029227680916558,0.6701530612244898,0.0874613170874543,0.6588611377770358,0.0637699850761433,0.6587796027501909,0.06911372658809625,0.635904255319149,0.052886425732024255,0.6458598416637059,0.05197982146533144,0.6650200749626091,0.05866823900460205,0.6543819230369674,0.057590546316336366,0.6530286582718194,0.05669709155402484,0.652360489720371,0.05649410364153211,0.654444221763981,0.057521679884300556,0.6529639175257732,0.05679667433594973,0.6523592428512455,0.05651005496401822
