Participant,Fold,Hidden1,Hidden2,Dropout,LearningRate,WeightDecay,Accuracy,Disengaged Precision,Disengaged Recall,Disengaged F1,Engaged Precision,Engaged Recall,Engaged F1,Macro Precision,Macro Recall,Macro F1,Weighted Precision,Weighted Recall,Weighted F1,AUROC
p11,1,16,16,0.2,0.001,0.0,0.656441717791411,0.63,0.7682926829268293,0.6923076923076923,0.6984126984126984,0.5432098765432098,0.6111111111111112,0.6642063492063492,0.6557512797350196,0.6517094017094017,0.6639964943032428,0.656441717791411,0.6519584709768759,0.685937970490816
p11,2,16,16,0.2,0.001,0.0,0.6666666666666666,0.6753246753246753,0.6419753086419753,0.6582278481012658,0.6588235294117647,0.691358024691358,0.6746987951807228,0.6670741023682201,0.6666666666666666,0.6664633216409943,0.6670741023682201,0.6666666666666666,0.6664633216409943,0.6910531931108062
p11,3,16,16,0.2,0.001,0.0,0.6234567901234568,0.6219512195121951,0.6296296296296297,0.6257668711656442,0.625,0.6172839506172839,0.6211180124223602,0.6234756097560976,0.6234567901234568,0.6234424417940022,0.6234756097560975,0.6234567901234568,0.6234424417940022,0.6604176192653559
p11,4,16,16,0.2,0.001,0.0,0.654320987654321,0.6354166666666666,0.7439024390243902,0.6853932584269663,0.6818181818181818,0.5625,0.6164383561643836,0.6586174242424242,0.6532012195121951,0.6509158072956749,0.6583309951365507,0.654320987654321,0.6513414548405058,0.6876524390243902
p11,5,16,16,0.2,0.001,0.0,0.5802469135802469,0.5777777777777777,0.6341463414634146,0.6046511627906976,0.5833333333333334,0.525,0.5526315789473685,0.5805555555555555,0.5795731707317073,0.578641370869033,0.5805212620027436,0.5802469135802469,0.5789624794112759,0.5939024390243902
p11,1,16,16,0.2,0.001,0.0001,0.656441717791411,0.63,0.7682926829268293,0.6923076923076923,0.6984126984126984,0.5432098765432098,0.6111111111111112,0.6642063492063492,0.6557512797350196,0.6517094017094017,0.6639964943032428,0.656441717791411,0.6519584709768759,0.685937970490816
p11,2,16,16,0.2,0.001,0.0001,0.6666666666666666,0.68,0.6296296296296297,0.6538461538461539,0.6551724137931034,0.7037037037037037,0.6785714285714286,0.6675862068965517,0.6666666666666667,0.6662087912087913,0.6675862068965517,0.6666666666666666,0.6662087912087912,0.6893766194177717
p11,3,16,16,0.2,0.001,0.0001,0.6111111111111112,0.6071428571428571,0.6296296296296297,0.6181818181818182,0.6153846153846154,0.5925925925925926,0.6037735849056604,0.6112637362637363,0.6111111111111112,0.6109777015437392,0.6112637362637362,0.6111111111111112,0.6109777015437392,0.6559975613473555
p11,4,16,16,0.2,0.001,0.0001,0.6481481481481481,0.6288659793814433,0.7439024390243902,0.6815642458100558,0.676923076923077,0.55,0.6068965517241379,0.6528945281522601,0.6469512195121951,0.6442303987670969,0.6525978794020031,0.6481481481481481,0.6446913104589853,0.6882621951219513
p11,5,16,16,0.2,0.001,0.0001,0.5802469135802469,0.5795454545454546,0.6219512195121951,0.6,0.581081081081081,0.5375,0.5584415584415584,0.5803132678132679,0.5797256097560975,0.5792207792207792,0.580303788637122,0.5802469135802469,0.5794773128106461,0.593140243902439
p11,1,16,16,0.2,0.0005,0.0,0.6687116564417178,0.6627906976744186,0.6951219512195121,0.6785714285714286,0.6753246753246753,0.6419753086419753,0.6582278481012658,0.669057686499547,0.6685486299307437,0.6683996383363472,0.6690192387153437,0.6687116564417178,0.6684620419574212,0.6829268292682926
p11,2,16,16,0.2,0.0005,0.0,0.6604938271604939,0.6585365853658537,0.6666666666666666,0.6625766871165644,0.6625,0.654320987654321,0.6583850931677019,0.6605182926829268,0.6604938271604939,0.6604808901421331,0.6605182926829268,0.6604938271604939,0.6604808901421332,0.6905959457399786
