,precision,recall,f1-score,support
disengaged,0.8,0.5,0.6153846153846154,8.0
engaged,0.7894736842105263,0.9375,0.8571428571428571,16.0
accuracy,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666
macro avg,0.7947368421052632,0.71875,0.7362637362637363,24.0
weighted avg,0.792982456140351,0.7916666666666666,0.7765567765567765,24.0
