,precision,recall,f1-score,support
disengaged,0.5454545454545454,0.6666666666666666,0.6,9.0
engaged,0.625,0.5,0.5555555555555556,10.0
accuracy,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527
macro avg,0.5852272727272727,0.5833333333333333,0.5777777777777777,19.0
weighted avg,0.5873205741626794,0.5789473684210527,0.5766081871345029,19.0
