F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,participant,session,clip_id,speaker,engagement_start_time,engagement_end_time,speaker_start_time,speaker_end_time,num_segments,speech_duration,label
37.43671,0.11611544,35.04865,36.59466,38.85309,3.8044395,283.24347,510.40643,223.09377,517.6255,0.41176024,0.77876,0.21095908,0.351833,0.5537524,0.34279335,5.0294285,4.56808,2.6330974,2.8923604,0.1727002,1.5330766,25.425413,0.42697114,5.933685,1.8917073,-13.210347,-0.8637133,-13.561199,-1.0469028,0.02510963,1.7498233,1.0675721,0.6888972,8.889278,0.40052912,8.632665,1.3890582,31.787971,0.38861465,780.9375,0.21407987,1310.9705,0.16499099,-81.84637,-1.0972052,1845.1122,0.13398802,1126.6377,0.27816278,-86.83491,-0.92143095,2945.7598,0.08714154,983.7672,0.31458482,-92.21541,-0.8244443,-17.429544,-0.4562082,30.213713,0.24669628,0.07110446,0.27263072,-0.019990016,-0.7377699,0.22063622,1.3843614,29.868118,0.26415864,6.9098835,1.6885595,-12.670689,-0.9844164,-18.174871,-0.7472308,-9.483628,18.565159,0.045168824,-0.0064552515,0.08639676,1.4835747,2.4769993,0.2532857,0.21567649,0.13188405,0.118679635,-25.31506,17,2,0,SPEAKER_00,0.0,146.9,0.03096875,146.9,23,28.322156249999995,engaged
37.627438,0.16077864,32.27501,37.28084,42.82016,10.545151,203.77675,430.61407,104.9436,168.96228,0.36784655,0.73350626,0.14206325,0.30875823,0.54329205,0.4012288,4.947909,3.6404576,2.94459,1.8115952,0.1284561,1.2658244,26.041685,0.36208814,5.581453,1.9501101,-11.153069,-1.3859311,-17.527184,-0.8938452,0.023376478,2.046192,0.9272174,0.974785,10.107265,0.46330038,9.876285,0.9566996,30.662132,0.465327,824.99426,0.20317866,1317.127,0.17295809,-79.79955,-1.1260867,1844.2776,0.12178337,1110.9019,0.31231862,-85.408295,-0.9537547,2969.0828,0.076533414,861.2651,0.37094522,-90.93434,-0.84956384,-16.692066,-0.4250336,30.454826,0.25520873,0.0708407,0.29712287,-0.019216418,-0.829454,0.15745386,1.0877533,28.839016,0.23215207,3.2890446,3.3432534,-12.375929,-1.3980172,-21.28393,-0.75627977,-11.921996,22.220173,0.04674519,-0.011889124,0.07771941,2.4418383,2.8103948,0.22027397,0.2533527,0.124148145,0.08593182,-26.739614,17,2,0,SPEAKER_01,0.0,146.9,9.66659375,136.58346875,34,52.02562500000002,engaged
28.369034,0.19945353,24.640482,27.100546,31.330303,6.6898212,686.6903,1140.9304,229.56752,380.3037,0.26793367,0.55452937,0.13226694,0.24627775,0.38546157,0.25319463,3.78467,2.6147215,1.9973717,1.3791248,0.116798826,0.965601,28.160053,0.33766466,10.083542,0.79032993,-7.4814186,-1.157173,-14.20938,-0.8310821,0.020712912,0.988226,1.5414904,0.5902309,4.4802794,0.586684,-6.3687344,-1.1584706,24.26486,0.76112324,684.63245,0.26094952,1459.9585,0.1403258,-69.75769,-1.314871,1732.9335,0.12343282,1209.095,0.21637821,-79.776955,-1.0323044,2863.6504,0.087082215,1000.089,0.31164292,-84.70147,-0.9292579,-20.630064,-0.20864087,31.825575,0.16905268,0.07131326,0.27757156,-0.031302035,-0.48383468,0.15028344,0.73388475,32.573757,0.17214364,11.324896,0.74245363,-8.455917,-1.1255108,-17.632067,-0.6907867,-12.130493,21.129404,0.050005015,-0.007815846,0.05945388,3.4562213,3.4965036,0.17799999,0.12586766,0.09214286,0.046625953,-31.846498,17,2,0,SPEAKER_02,0.0,146.9,21.71534375,143.62034375000002,8,4.353750000000026,engaged
31.875328,0.08740926,29.084234,31.719946,35.52389,6.439657,51.06584,32.329887,52.688442,28.332129,0.29500043,0.78235114,0.10304944,0.21021888,0.44329572,0.34024626,5.314041,1.5458302,1.1175356,1.76211,0.14475976,1.0848383,31.30478,0.17701349,8.280296,0.63827175,-2.0920308,-6.49261,-11.236826,-1.024394,0.019278016,1.5926375,1.5115293,0.59467196,7.3839846,0.39296302,-1.6630824,-7.3529105,31.502586,0.30861074,645.07007,0.30558696,1458.2836,0.08045936,-90.552055,-1.0312513,1683.7963,0.13677315,1061.66,0.22446877,-93.7755,-0.91586196,2809.9443,0.09991783,1039.9352,0.2528382,-99.71486,-0.811776,-19.044268,-0.22034675,29.593689,0.2134905,0.07945512,0.2011862,-0.02793813,-0.4670479,0.22832717,0.73000485,33.960835,0.12349087,7.8535976,0.677591,-2.526325,-5.8402514,-14.952042,-0.81871754,-13.67979,22.221243,0.046511035,-0.012256453,0.03926113,4.5454545,3.809524,0.1425,0.101827055,0.099999994,0.08396428,-28.252495,17,2,0,SPEAKER_03,0.0,146.9,55.414718750000006,57.03471875,2,1.113749999999996,engaged
44.16452,0.19122542,35.413097,46.41179,52.677998,17.2649,406.33572,618.7265,142.74141,361.5638,0.9910113,0.67468476,0.34185338,0.93506855,1.4716463,1.1297929,8.099767,6.24261,5.9211364,4.4990005,0.38052472,1.0982046,20.897903,0.54036134,0.47459403,26.006826,-20.066174,-0.62821925,-27.297888,-0.74661887,0.027888367,1.588195,1.005785,0.69852924,10.077074,0.5057515,11.339378,0.9630101,23.93532,0.6107936,856.6933,0.20090474,1227.3889,0.21398044,-38.0941,-1.7943599,1871.6422,0.13013668,1078.5006,0.26700437,-46.194675,-1.2514837,2953.7092,0.068370506,823.34845,0.47151807,-51.88637,-1.0643181,-13.929021,-0.524803,26.802113,0.32026327,0.07304975,0.34801185,-0.024513392,-0.7051171,0.39830562,1.0064217,21.33208,0.52593315,0.4057799,31.208904,-20.050726,-0.6421177,-30.519535,-0.62804276,-8.280241,20.4288,0.056260195,-0.0027091864,0.2923762,2.0833335,1.9029496,0.44599998,0.59288615,0.065,0.042328082,-16.429602,17,2,1,SPEAKER_00,146.933333,160.0,146.933333,159.56721875000002,4,10.575135749999987,disengaged
38.803978,0.15388092,33.236923,38.387665,43.76505,10.528126,106.68194,177.41147,81.6063,82.54573,0.3338526,0.7529828,0.12455575,0.29102728,0.4603079,0.33575213,4.096192,2.6520126,2.8181696,1.6758937,0.10411696,1.4400197,25.671028,0.33902234,3.9603364,2.7371137,-10.617908,-1.3289441,-17.74109,-0.7869975,0.021864686,2.2995834,0.9030356,1.0432254,10.876148,0.4171558,11.157241,0.93053454,27.968683,0.48852023,834.3339,0.18010136,1284.6879,0.18134376,-85.0339,-1.0508922,1850.4141,0.1135032,1061.2113,0.3085968,-90.43749,-0.9089608,2951.7617,0.06422657,833.98615,0.47711262,-95.20741,-0.82477003,-17.24443,-0.48229396,30.14793,0.2703381,0.06951865,0.3158699,-0.016920837,-0.8062481,0.13022675,1.2528,28.3219,0.24002309,2.9674728,3.8932512,-9.966523,-1.5705857,-21.893648,-0.64072734,-10.344302,21.822218,0.042412296,-0.00954979,0.06191183,2.1380575,2.329859,0.25921053,0.2403767,0.14999999,0.10457936,-28.277735,17,2,4,SPEAKER_01,164.0,209.866667,165.08534375000002,193.70534375000005,8,16.385625000000033,engaged
36.914974,0.10307983,34.664276,37.115852,39.88704,5.222763,217.63593,273.24466,85.78461,103.6845,0.39278713,0.49387813,0.20408425,0.3739844,0.5603858,0.35630158,4.0774636,2.867281,2.924117,1.3699653,0.15960158,0.8187841,27.135088,0.31399497,4.356843,2.3782933,-15.352899,-0.8305971,-12.909503,-1.0044289,0.028138544,1.7412685,1.1647074,0.5847828,7.897652,0.4601346,5.634592,2.2367692,31.449478,0.30756742,758.81134,0.22698998,1362.8384,0.17496449,-73.0921,-1.1819813,1778.9069,0.13976249,1158.9564,0.28352726,-77.57037,-1.0019426,2916.7876,0.09046613,969.5352,0.2651756,-84.45111,-0.863817,-15.415969,-0.55279684,29.88834,0.23692878,0.06536605,0.31469586,-0.01725967,-0.92998004,0.19501458,0.69580185,29.623978,0.21450172,5.456561,2.0280027,-15.016011,-0.91934144,-15.971932,-0.80281556,-9.083717,20.401102,0.043121655,-0.0066842064,0.081590846,3.3185842,3.2293987,0.20413794,0.2572737,0.095,0.07722345,-28.345064,17,2,4,SPEAKER_00,164.0,209.866667,195.84846875,209.866667,5,9.056948250000062,engaged
36.77081,0.07422768,35.45902,36.109917,38.70358,3.2445602,271.1376,205.21707,18.494963,4.8827972,0.3791752,0.36338198,0.26561326,0.3703475,0.48194283,0.21632957,2.746947,1.3401312,2.74719,0.9882563,0.14043477,0.6193216,28.536198,0.35338098,5.408734,2.0973675,-13.881144,-0.75743824,-8.182895,-1.0580657,0.015165862,0.896719,1.1173532,0.62931085,8.817088,0.42795515,5.9772964,2.0792532,32.61965,0.29873058,782.0759,0.20078984,1363.8347,0.17684808,-59.719284,-1.2520391,1811.2158,0.10323252,1156.5922,0.23646425,-67.35388,-0.98236394,2953.3784,0.07183316,995.1774,0.26918375,-75.37379,-0.82122546,-17.807013,-0.51524556,31.921175,0.25696677,0.064370595,0.302265,-0.014352015,-0.7567561,0.16120344,0.55939627,32.06613,0.25183582,6.997701,1.5664018,-11.938347,-0.8868384,-10.033906,-0.76959443,-9.050186,19.386395,0.043452423,-0.0040134727,0.07801374,4.6808515,3.9473684,0.18444444,0.19131772,0.05125,0.029341735,-28.203117,17,2,5,SPEAKER_00,209.9,212.7,209.9,212.7,2,2.361250000000041,disengaged
37.098934,0.123427875,35.25346,36.95947,39.076862,3.8234024,128.97166,95.102554,76.316956,55.88299,0.4407698,0.41670665,0.25706473,0.41942433,0.6128384,0.35577366,3.798292,1.3596715,2.485929,1.2453384,0.16630425,0.655335,28.422897,0.34495962,2.8131526,4.46199,-18.729893,-0.63146174,-11.189531,-1.0380415,0.02167377,1.9464033,0.9823722,0.6207724,8.825061,0.40581998,5.7253404,2.4671636,32.133778,0.35106233,776.57904,0.21086447,1304.5685,0.17424022,-58.31799,-1.4011568,1810.652,0.1351821,1134.2776,0.29318213,-66.62219,-1.0936533,2972.1057,0.07981351,1019.98254,0.2884586,-76.00434,-0.88551384,-15.338889,-0.640736,31.79424,0.23109592,0.06901174,0.3024365,-0.013871023,-1.1500131,0.19463845,0.5545501,31.435635,0.24232647,4.869655,2.4752755,-18.151453,-0.71132123,-14.164096,-0.78364754,-7.4500017,18.795713,0.045639995,-0.0003101112,0.084706634,4.2253523,2.4390244,0.29999998,0.30323258,0.09727273,0.06823634,-27.855844,17,2,6,SPEAKER_00,212.733333,231.233333,212.733333,218.69721875,3,4.985135750000012,engaged
35.5117,0.106414326,32.141376,36.290493,38.540394,6.3990173,125.279816,109.285965,57.128456,58.615543,0.2571269,0.660249,0.116137125,0.20102067,0.39453864,0.27840152,5.0641775,2.8928766,3.173073,1.8534213,0.08631338,0.90319216,26.587637,0.38252443,6.5199804,1.4202355,-6.107057,-1.6627693,-6.1877985,-1.1784728,0.028828941,2.0715673,1.3316189,0.78139526,8.029149,0.44175488,8.583868,1.1474315,28.673893,0.739439,794.86816,0.1909184,1371.2377,0.13481836,-110.62882,-0.8159135,1781.5852,0.09884476,1053.4142,0.26609161,-113.671814,-0.7470746,2926.5632,0.0679126,832.1222,0.35192278,-118.736084,-0.6727967,-15.431894,-0.4133703,28.499727,0.3065669,0.066324435,0.28094074,-0.014611596,-0.8807129,0.126777,0.68030083,30.435627,0.26754668,5.199496,1.801055,-6.8840837,-1.6827862,-7.352298,-1.0426977,-11.898827,23.065933,0.043485813,-0.005979295,0.050860446,4.183536,3.537415,0.12730768,0.104570836,0.14119999,0.1449226,-33.89212,17,2,6,SPEAKER_01,212.733333,231.233333,217.97159375,227.13471875,4,7.4249999999999545,engaged
