video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,103.35,50.74,10.4,42.21,47.39
p5-s10,53.87,35.54,5.87,12.47,81.66
p7-s8,59.0,10.5,14.88,33.62,51.51
p7-s16,64.06,23.92,14.08,26.06,59.86
p9-s3-1,69.06,13.33,37.63,18.1,44.27
p9-s9,92.55,42.41,17.15,32.98,49.86
p11-s4,37.51,13.6,10.37,13.54,76.09
p11-s11,42.14,26.07,3.17,12.9,83.93
p12-s3,66.04,38.75,9.19,18.1,72.71
p12-s6,110.31,71.21,8.66,30.44,60.9
p17-s2,52.15,33.07,5.81,13.27,80.92
p17-s6,41.7,21.97,12.46,7.27,80.27
p18-s15,36.42,20.51,6.32,9.59,84.09
p18-s17,41.69,28.39,5.29,8.02,86.69
