Participant,Accuracy Mean,Accuracy Std,,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Mean,F1 Std,95 CI,AUROC Mean,AUROC Std,95 CI
p5,0.667647058823529,0.098910041789406,0.029835322561622,0.695238095238095,0.117658562862913,0.907272727272727,0.090999954590852,0.779428571428571,0.059053763121206,0.017813035353378,0.677272727272727,0.213875323052557,0.064513563393597
p7,0.504444444444444,0.113746523485064,0.034310613533716,0.528277845855642,0.118932026443268,0.657846153846154,0.284056832383361,0.572207897223473,0.203753774209394,0.06146048941753,0.568027530364372,0.139976705198858,0.042222711417036
p9,0.682758620689655,0.034492335834767,0.01040430220144,0.692803643724696,0.071073538252032,0.706666666666667,0.138242942355518,0.688590946055842,0.051718127508739,0.015600306992,0.735936507936508,0.038998808052022,0.011763638925846
,,,,,,,,,,,,,
,parent eaw,,,,,,,,,,,,
