,precision,recall,f1-score,support
disengaged,0.5747126436781609,0.5376344086021505,0.5555555555555556,93.0
engaged,0.5612244897959183,0.5978260869565217,0.5789473684210527,92.0
accuracy,0.5675675675675675,0.5675675675675675,0.5675675675675675,0.5675675675675675
macro avg,0.5679685667370395,0.5677302477793361,0.5672514619883041,185.0
weighted avg,0.5680050212069916,0.5675675675675675,0.5671882408724513,185.0
