Participant,Best Hidden1,Best Hidden2,Best Dropout,Best LearningRate,Best WeightDecay,Accuracy Mean,Accuracy Std,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Mean,F1 Std
p11,16,64,0.3,0.0005,0.0001,0.6129430379746835,0.04041450232376037,0.615189698277938,0.03605450061212528,0.9029951690821256,0.1354344185877317,0.7262604411015517,0.039246756020086225
p12,16,64,0.3,0.0005,0.0,0.5713815789473684,0.019968487119442338,0.5730678315845403,0.016183586904165218,0.9439552760307478,0.07695249930973058,0.7119027732699392,0.02075493687176203
p17,128,32,0.5,0.001,0.0,0.6280701754385964,0.07169409383053527,0.6196679197994988,0.07277131418527985,0.86,0.11401754250991382,0.7118471183988426,0.026020269197940087
p18,16,64,0.3,0.0005,0.0,0.7017543859649122,0.0377294967852747,0.7022347022347022,0.03607646956150243,0.9686153846153847,0.033292677376022255,0.8133369638890546,0.021441967152440553
p5,16,16,0.4,0.0005,0.0,0.7405797101449275,0.07210509057879755,0.7366666666666667,0.06335525936249402,1.0,0.0,0.8471984179301252,0.04009297889782093
p7,128,32,0.5,0.0005,0.0001,0.6800865800865801,0.0635936482370696,0.7065377759495407,0.08310494339984947,0.8589743589743589,0.1484081654203875,0.7625405730314565,0.04416928947898543
p9,64,64,0.3,0.0005,0.0,0.6549019607843138,0.08275784886629717,0.644978354978355,0.0696815744874805,0.8755555555555556,0.08937367800973424,0.7403809523809524,0.061983832285948656
