,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,start_time,end_time,label
0,35.607697,0.09673739,35.457634,36.28032,37.195877,1.7382431,167.33026,146.9721,43.835327,103.70563,0.068614334,0.8002194,0.01918584,0.056279387,0.11215636,0.09297052,1.5674323,1.1854244,1.0353678,0.7915037,0.027145585,1.271029,12.286007,0.9515256,20.827442,0.29396307,6.6141987,0.7630183,-2.144563,-2.2458994,0.048455507,0.7595537,2.233607,0.5291625,6.3226547,0.40698576,15.016618,0.49647242,30.828571,0.26096267,679.2658,0.35340455,1485.5835,0.15224555,-198.02235,-0.104137264,1767.9756,0.14549126,1198.3536,0.21231449,-197.47588,-0.10864646,2789.5027,0.09490651,1058.803,0.28080356,-197.52994,-0.10698526,-19.514473,-0.35706565,29.101961,0.3053421,0.024842469,0.85359216,-0.0030731857,-4.451646,0.07729274,0.76455116,21.074842,0.50997144,21.648485,0.22265433,8.970856,0.65208745,-2.4337645,-2.777337,-12.803374,20.483194,0.022703264,0.008131257,0.026068507,2.696682,0.4458001,0.03763158,0.039499108,2.128205,2.1463752,-45.419807,0.0,85.3,disengaged
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0844269,1.0258143,0.026066924,0.05474823,0.107170835,0.08110391,2.0946448,2.42985,1.4002723,0.84854555,0.025992058,2.4539602,-0.41815168,-43.348747,22.386602,0.18624231,6.4398475,0.6954095,0.07894073,53.007935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0753083,10.226937,0.013909959,0.016765513,0.026430206,4.054054,0.0,0.0,0.0,2.1599998,0.0,-42.80883,85.333333,87.566667,engaged
2,36.801426,0.054429542,35.073997,36.814835,39.03061,3.9566116,93.42855,68.6532,30.094198,15.76934,0.12813783,0.9030262,0.033903807,0.101390205,0.18759604,0.15369223,2.6040611,2.232336,2.0458272,2.5717096,0.05628895,1.414535,15.97924,0.90231097,20.611181,0.305505,4.7235107,1.4853605,-4.0236173,-2.2252438,0.019991033,0.56625175,1.8532542,0.49899334,6.7438054,0.37520775,7.6794395,1.2902619,38.936413,0.14648695,686.51324,0.27755406,1471.2072,0.16194278,-189.38728,-0.22757925,1727.4778,0.16235134,1401.6979,0.24878734,-186.84573,-0.24039352,2762.6414,0.11234354,1045.6882,0.18300572,-187.50078,-0.2281083,-19.218885,-0.21292038,32.65578,0.14848806,0.036158923,0.6175473,-0.026672015,-0.4676092,0.19587079,0.6506803,30.70297,0.2324992,13.151104,0.57934904,-5.7749643,-1.6883843,-21.76108,-0.53779936,-13.502306,21.438007,0.010552034,0.0029844993,0.044216733,2.9139073,1.0666667,0.065,0.0591608,0.84999996,0.49071375,-38.204784,87.6,95.166667,disengaged
3,37.9249,0.01836316,37.60072,37.803173,38.054043,0.45332336,15.501998,11.053346,14.561372,15.166571,0.14097059,0.9299514,0.05332589,0.098369606,0.17228064,0.11895475,2.4351857,2.0325744,1.70256,1.5599114,0.064887345,1.3001001,18.17915,0.54893816,22.203856,0.18636751,5.7230287,1.1489564,-4.218077,-1.9067203,0.018851047,0.4611242,1.5431232,0.6256699,9.3232765,0.20448552,20.938984,0.44709545,38.771217,0.12031519,618.99255,0.22868772,1447.4661,0.13153163,-180.26373,-0.31953955,1765.3182,0.13030222,1312.965,0.25934228,-179.67033,-0.2991155,2797.271,0.08092643,1029.1147,0.19328459,-180.00719,-0.29369578,-22.188328,-0.23117526,33.188892,0.1663571,0.04702807,0.43987024,-0.022818986,-0.54309905,0.22802407,0.39648724,27.617388,0.26526213,17.72615,0.30016625,3.1700995,2.9026265,-19.139685,-0.49093866,-15.501607,23.044975,0.013001118,-3.5985715e-05,0.03972156,3.73444,0.84210527,0.1425,0.0884237,0.818,1.3164407,-35.6783,95.2,100.033333,engaged
4,37.331856,0.020765197,36.317005,37.63991,37.976074,1.6590691,109.32236,88.02185,5.3369145,10.364471,0.23078263,0.48256877,0.13175628,0.21222878,0.32910985,0.19735357,3.176746,1.3179418,2.2884815,1.3388915,0.09908798,0.6189215,21.375229,0.59945565,21.500935,0.33761728,2.5868402,2.6634672,-7.172175,-1.0073053,0.030516043,0.4524035,1.7951766,0.35592484,7.302948,0.19647458,12.400639,0.64697945,32.093697,0.14266191,784.6,0.1921929,1298.0577,0.17233041,-149.6465,-0.5290731,1951.3706,0.12136051,1106.8591,0.1302754,-152.44273,-0.46816608,2955.0654,0.068903,1192.6119,0.52045935,-153.60555,-0.45352674,-17.89019,-0.20432307,32.176918,0.1129927,0.027816063,0.4615527,-0.020519372,-0.3302752,0.14355278,0.30718702,28.81226,0.16680297,16.466396,0.27968717,-1.0359406,-8.387091,-14.235659,-0.42928812,-15.00133,23.694422,0.0130040385,-0.0075935633,0.08396026,5.035971,2.9850748,0.0875,0.03269174,0.22749999,0.18552291,-35.4361,100.066667,101.466667,disengaged
5,40.02497,0.018297227,39.45004,40.071728,40.502518,1.0524788,0.0,0.0,-0.09101057,0.0,0.33776793,0.96712524,0.036373053,0.18288088,0.68505347,0.6486804,3.6961048,1.8891565,2.3412733,2.4575987,0.10137519,1.1162946,7.3517747,2.4049208,11.816119,1.6362385,0.04694234,319.8727,-9.741367,-1.4809725,0.01139765,0.60199517,0.9730063,0.45208034,9.323875,0.17568792,-1.2500128,-4.548694,15.085572,0.45133504,791.9715,0.26422197,1318.2246,0.1578468,-147.82462,-0.5856061,1863.0347,0.16770208,1146.8628,0.29996985,-141.25357,-0.60554487,2810.1003,0.0893788,1005.18555,0.24175255,-142.78064,-0.5831947,-7.6058087,-0.70707536,20.571184,0.3384596,0.028701456,0.38709837,-0.022436228,-0.393218,0.22809969,0.36815983,25.090908,0.20716009,-10.683796,-0.7690817,-3.0405955,-3.6079032,-23.943823,-0.21973224,-3.0559013,7.427037,0.029328097,0.011716033,0.03149994,4.761905,1.0,0.31,0.0,0.32999998,0.24,-31.151815,101.5,102.566667,engaged
6,37.832752,0.055457827,36.358646,38.191387,38.993782,2.6351357,139.16273,155.80716,62.237972,55.49774,0.26533633,0.8461216,0.07988056,0.20036115,0.41740286,0.3375223,4.8657813,3.3488815,3.683317,2.5747268,0.13837975,0.9229724,21.433273,0.54914206,17.960133,0.43532622,4.175337,2.7216783,-10.344327,-1.2335579,0.027169792,0.7347436,1.9446532,0.5323958,7.4239507,0.2711734,14.564238,0.7187801,30.206007,0.27079082,676.63165,0.26447055,1447.9575,0.13362972,-144.18353,-0.5616055,1760.186,0.1380974,1265.732,0.26581037,-138.66852,-0.563285,2761.3145,0.082935795,1090.2623,0.49491334,-139.92915,-0.5460445,-17.020636,-0.5039791,29.080276,0.26921004,0.037489325,0.48045814,-0.020717409,-0.63419557,0.23915951,0.53938085,25.373789,0.31082553,14.553347,0.7075074,5.3515615,2.8452387,-19.462849,-0.7013749,-15.193617,24.642696,0.025676822,-0.003948664,0.080843665,3.0828516,2.918288,0.11533333,0.090027146,0.22214285,0.29501036,-31.288712,102.6,107.8,disengaged
7,37.79433,0.041192014,36.460155,37.902496,39.281654,2.8214989,117.11105,121.79594,17.170465,3.6217856,0.265339,0.48505363,0.14539424,0.25560835,0.35540822,0.21001399,5.0828543,3.4187605,3.2042294,1.1501881,0.14415224,0.66562194,27.238693,0.14840506,18.291712,0.33514777,3.8358047,2.9749541,-7.8340373,-0.9138902,0.027488327,0.5412962,1.9626399,0.5159338,8.136028,0.32559958,14.440499,0.70721567,29.82601,0.20451239,784.1525,0.18330777,1466.5867,0.287922,-112.941826,-0.7292825,1903.4131,0.0995335,1235.0132,0.262097,-116.19422,-0.64150727,2953.9421,0.06866416,1082.4865,0.34764177,-117.38306,-0.6287055,-21.187029,-0.32002118,34.74263,0.108665,0.026248718,0.5437532,-0.015195996,-0.6116603,0.19263026,0.5493948,28.278984,0.1273166,17.647629,0.3582511,5.2502565,2.2568185,-9.155134,-0.8571677,-18.806122,30.29922,0.02281356,-0.010301593,0.09959254,8.080809,4.255319,0.1125,0.09337424,0.08,0.041472882,-30.854528,107.833333,108.833333,engaged
8,36.808643,0.036897074,35.52574,36.396545,38.37334,2.847599,27.510315,12.307141,16.210503,2.2093806,0.4984242,0.96836436,0.10937431,0.28954688,0.8297828,0.7204085,9.664098,3.0638704,0.45195165,4.9224563,0.20327467,0.89379203,22.556652,0.5044002,15.278259,0.8005646,2.3378768,5.455707,-19.573338,-0.89709836,0.021391217,0.75846046,1.464678,0.5670629,7.8320837,0.2931338,6.385984,1.5677208,27.476305,0.35562527,618.4693,0.2564695,1552.1708,0.18762119,-99.01459,-0.9445837,1642.4192,0.19554608,1094.9431,0.2783533,-91.48382,-0.95061815,2743.0654,0.10711274,1121.1248,0.38300988,-96.86547,-0.849824,-13.308705,-0.5728711,23.81176,0.34972665,0.05084961,0.36020127,-0.025233952,-0.5473337,0.2950276,0.630076,25.405241,0.3468055,7.7764316,1.3204383,0.4829829,32.316307,-30.98866,-0.49001592,-16.802608,24.409302,0.03008367,-0.0054712114,0.07041602,3.3707867,2.4096386,0.24,0.02,0.155,0.13499999,-25.113647,108.866667,109.766667,disengaged
9,36.996353,0.094942525,35.01559,36.41427,38.14899,3.1334,120.520676,122.32023,90.14988,107.13755,0.19035542,1.2875301,0.013726755,0.09761866,0.3159944,0.30226767,4.5364785,2.8868983,3.6627648,2.9145613,0.09023566,1.4482735,14.346892,1.0511916,16.17234,0.4824557,5.3861256,1.7951124,-9.542425,-1.178015,0.028064454,1.4896537,1.5022548,0.6062856,7.9620547,0.3583837,13.566329,0.82788813,31.216118,0.33765215,689.638,0.30746597,1420.5869,0.14371438,-163.93208,-0.44619173,1775.5695,0.15001658,1264.8717,0.3098652,-161.17216,-0.4362725,2817.7742,0.09778693,1019.7313,0.25808233,-161.9433,-0.42503512,-17.835152,-0.4924892,29.164011,0.3542945,0.047945805,0.4394652,-0.019564232,-0.6472003,0.2551076,0.58803403,26.389322,0.4266541,13.376003,0.7084791,5.113333,3.3467715,-22.195477,-0.65597206,-9.997452,16.890116,0.028918864,0.008207674,0.041329727,1.6393443,1.516428,0.14166667,0.11975668,0.5415152,0.8241253,-30.907883,109.8,133.6,engaged
