,precision,recall,f1-score,support
disengaged,1.0,0.05,0.09523809523809523,20.0
engaged,0.6481481481481481,1.0,0.7865168539325843,35.0
accuracy,0.6545454545454545,0.6545454545454545,0.6545454545454545,0.6545454545454545
macro avg,0.8240740740740741,0.525,0.44087747458533977,55.0
weighted avg,0.7760942760942761,0.6545454545454545,0.535142759861861,55.0
