,precision,recall,f1-score,support
disengaged,0.35714285714285715,0.7142857142857143,0.47619047619047616,7.0
engaged,0.8,0.47058823529411764,0.5925925925925926,17.0
accuracy,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666
macro avg,0.5785714285714286,0.592436974789916,0.5343915343915344,24.0
weighted avg,0.6708333333333334,0.5416666666666666,0.5586419753086419,24.0
