Hidden1,Hidden2,Dropout,LearningRate,WeightDecay,Accuracy,Engaged Precision,Engaged Recall,Engaged F1,Disengaged Precision,Disengaged Recall,Disengaged F1,AUROC
16,16,0.2,0.001,0.0,0.6950877192982456,0.7012262552869608,0.6833333333333333,0.69098789295659,0.6918435444059251,0.7069148936170213,0.6981603726510848,0.7243388002364066
16,16,0.2,0.001,0.0001,0.6971710526315789,0.7047105758444522,0.6833333333333333,0.6924860202974141,0.6930556656180464,0.711081560283688,0.700673222451199,0.7263390218676122
16,16,0.2,0.0005,0.0,0.6013596491228071,0.585906009514181,0.4916666666666667,0.5206087854527627,0.6053398268398269,0.711081560283688,0.6464373098645231,0.6189864066193853
16,16,0.2,0.0005,0.0001,0.6013596491228071,0.585906009514181,0.4916666666666667,0.5206087854527627,0.6053398268398269,0.711081560283688,0.6464373098645231,0.6196919326241134
16,16,0.3,0.001,0.0,0.6951096491228069,0.701530204986651,0.6833333333333333,0.6912221946882389,0.691109759805412,0.7068262411347519,0.697944466285958,0.7208979757683214
16,16,0.3,0.001,0.0001,0.6951096491228069,0.6978633465965002,0.6916666666666667,0.6936277398940425,0.6949369219107302,0.6984929078014185,0.6956251835428906,0.7204768764775414
16,16,0.3,0.0005,0.0,0.6450657894736842,0.6337344536951383,0.575,0.5957323653009953,0.6440366357069143,0.7151595744680851,0.6733228083125002,0.6581153959810875
16,16,0.3,0.0005,0.0001,0.6471491228070174,0.6349929078014185,0.5791666666666666,0.598302003314059,0.647284291290887,0.7151595744680851,0.6748089572530566,0.6588984929078013
16,16,0.4,0.001,0.0,0.6908771929824562,0.7031958041958041,0.6625000000000001,0.6810156886665292,0.682062413065913,0.7194148936170214,0.6992850563823209,0.7195146276595745
16,16,0.4,0.001,0.0001,0.6929605263157895,0.7023442540196622,0.6708333333333334,0.6857299653739561,0.6853437355253832,0.7152482269503546,0.6995264597568261,0.7184637263593381
16,16,0.4,0.0005,0.0,0.595109649122807,0.5713643816500958,0.4875,0.5134593729586365,0.6010447523491003,0.7026595744680852,0.6406267980759331,0.6052729757683214
16,16,0.4,0.0005,0.0001,0.5930263157894737,0.5698435009573932,0.4833333333333334,0.5105426958058537,0.5986172161172162,0.7027482269503547,0.6393754886080287,0.6050162529550827
16,16,0.5,0.001,0.0,0.6951096491228071,0.7124648220398936,0.6583333333333334,0.6835316321586266,0.6815535084553551,0.7319148936170212,0.70519962934404,0.728372488179669
16,16,0.5,0.001,0.0001,0.699298245614035,0.7128811459543166,0.6708333333333333,0.6902290175463686,0.6890141039643134,0.7277482269503547,0.7070349165249343,0.7260730644208039
16,16,0.5,0.0005,0.0,0.6555043859649123,0.6543351148346093,0.5666666666666667,0.5930500245309455,0.6500744237226417,0.7444148936170214,0.6874986982331621,0.663850103427896
16,16,0.5,0.0005,0.0001,0.6471710526315789,0.6437646733111849,0.5625,0.5857659079383184,0.643656216134508,0.7318262411347518,0.6780708139553726,0.6638408687943262
16,32,0.2,0.001,0.0,0.6846491228070175,0.7008494509119025,0.6499999999999999,0.6732590570543935,0.672245202000912,0.7191489361702128,0.6939257140784721,0.723154920212766
16,32,0.2,0.001,0.0001,0.6846491228070175,0.7020686427139615,0.6499999999999999,0.6735484450367075,0.6718848304872188,0.7191489361702128,0.6935370038162552,0.7212710549645391
16,32,0.2,0.0005,0.0,0.6909210526315789,0.7100926122304702,0.6541666666666666,0.6798779152590002,0.6764305237246414,0.7275709219858156,0.700209181961579,0.7238475177304964
16,32,0.2,0.0005,0.0001,0.6930043859649123,0.7135072463768117,0.6541666666666666,0.681307945902514,0.6777292250233427,0.7317375886524824,0.7027483903260301,0.7232361849881797
16,32,0.3,0.001,0.0,0.6825657894736843,0.7015600620783792,0.6416666666666667,0.6690246281167357,0.66829570562704,0.723404255319149,0.6938513127772772,0.7270593232860519
16,32,0.3,0.001,0.0001,0.6867324561403508,0.7065452969611231,0.6458333333333333,0.6733480067881332,0.6722819971133315,0.7275709219858156,0.6977533785580485,0.7222019060283689
16,32,0.3,0.0005,0.0,0.6909429824561404,0.7067434821224354,0.6625,0.6828772544957101,0.6789023569023568,0.7192375886524822,0.6976182556667176,0.7239509456264775
16,32,0.3,0.0005,0.0001,0.6971929824561404,0.7144594847483001,0.6666666666666667,0.6885807634074428,0.6841818181818182,0.7275709219858156,0.7042508116017131,0.7249076536643025
16,32,0.4,0.001,0.0,0.6887938596491229,0.7051262021186833,0.6583333333333333,0.678929734525369,0.6775728755134649,0.7190602836879434,0.6960802227544444,0.7312721631205674
16,32,0.4,0.001,0.0001,0.6888157894736843,0.7066103229715273,0.6541666666666666,0.6774261594487603,0.6765706047437522,0.7233156028368795,0.697634206558571,0.7301381501182033
16,32,0.4,0.0005,0.0,0.6846710526315789,0.700617486275848,0.65,0.6738035416318784,0.6717451115724901,0.7193262411347516,0.6942903461229706,0.7290096778959811
16,32,0.4,0.0005,0.0001,0.6825877192982457,0.6976881933465549,0.65,0.6724477679058382,0.6703122307278445,0.7151595744680851,0.6915832754158998,0.7297225916075651
16,32,0.5,0.001,0.0,0.703421052631579,0.7221826584268445,0.6708333333333333,0.6942619447732962,0.6895033695753655,0.7359042553191489,0.7109471639710555,0.7396516696217494
16,32,0.5,0.001,0.0001,0.7075877192982457,0.7263878465707734,0.6791666666666667,0.700339291794348,0.6942044196113963,0.7358156028368794,0.7130286622762351,0.7397347813238769
16,32,0.5,0.0005,0.0,0.6888157894736843,0.7041821273964131,0.6583333333333333,0.6797553414014642,0.6766211445559271,0.7192375886524822,0.6966821631878558,0.7285497931442081
16,32,0.5,0.0005,0.0001,0.6846271929824561,0.7007223630028508,0.6541666666666666,0.6756543977304323,0.6722850297850298,0.714982269503546,0.692167171554143,0.7295083481087471
16,64,0.2,0.001,0.0,0.6951535087719297,0.6988725222767777,0.6874999999999999,0.6926225240520656,0.6928407726727055,0.7028368794326242,0.6972666674768635,0.7198784722222223
16,64,0.2,0.001,0.0001,0.7035087719298245,0.7125570082091821,0.6833333333333333,0.6968658649398705,0.6969316397887826,0.723758865248227,0.7093260869565217,0.7314069887706856
16,64,0.2,0.0005,0.0,0.6950657894736842,0.700480087288598,0.6833333333333333,0.6912190152801359,0.6913101604278074,0.7068262411347519,0.6983843006726301,0.7276263297872341
16,64,0.2,0.0005,0.0001,0.6971929824561404,0.7047397047397047,0.6791666666666667,0.69103693314633,0.6917460578637049,0.7153368794326241,0.7026535367118065,0.7296339391252956
