Participant,Accuracy Mean,Accuracy Std,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Mean,F1 Std
p11,0.6423918806331894,0.02049987441248051,0.6518403704362609,0.027380099790118635,0.6053703703703703,0.04667966272595065,0.626655169747434,0.02570236575004189
p12,0.5663702412089509,0.018050546707637918,0.5649849560144238,0.01932950171246906,0.5618747078073866,0.07022587201377463,0.5613602310258295,0.037365867368599585
p17,0.6299240210403273,0.08136734126320563,0.6216450216450216,0.06547253594429227,0.6583908045977012,0.1447052941082375,0.6358843534752785,0.09494169846544728
p18,0.6724554134390199,0.031025577747644913,0.682011298256943,0.053880111402292916,0.6491575091575091,0.037568721466856636,0.6631886303341229,0.020700361214040116
p5,0.630020120724346,0.07020581773096099,0.6407703738281402,0.04817753924317043,0.616966966966967,0.1530504425065964,0.6242455945681753,0.1065939557973443
p7,0.6971052631578948,0.05217516143123565,0.7096585812711982,0.054234748423461744,0.6708333333333333,0.07424387367168941,0.6885777401928644,0.057570512099834124
p9,0.5717783505154639,0.02677326622787968,0.5665817805383023,0.027492105711369157,0.5812943262411348,0.06515851907284427,0.5730352683306298,0.04188126567922433
