Participant,Best Hidden1,Best Hidden2,Best Dropout,Best LearningRate,Best WeightDecay,Accuracy Mean,Accuracy Std,,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Mean,F1 Std,95 CI,AUROC Mean,AUROC Std,95 CI
p11,16,32,0.4,0.001,0.0001,0.610975085910653,0.057981218357797,0.017489511893079,0.622174628490418,0.059554044564062,0.796366177498253,0.127778116960083,0.691477359336911,0.038151707079465,0.011508118552977,0.634247920184735,0.067233813284891,0.020280473752842
p12,32,32,0.2,0.0005,0.0001,0.560446570972887,0.022930416498056,0.006916753449043,0.555660380934808,0.017330419996085,0.895452716297787,0.080709138752656,0.68408942547485,0.018687128649574,0.005636803917216,0.521601624554306,0.043424499214074,0.013098608773084
p17,64,16,0.5,0.0005,0,0.618,0.034286375654997,0.010342176169673,0.610864284456962,0.053262173086558,0.851648351648352,0.171829623858372,0.700793650793651,0.04433092077387,0.013372022666396,0.617199467199467,0.090352240049204,0.027253938804036
p18,32,64,0.5,0.0005,0,0.66554856743536,0.02756921912486,0.008316006448704,0.669963768115942,0.029276004762309,0.954117647058824,0.051834504944407,0.785849126446094,0.012948959753162,0.003905936991672,0.647005749668288,0.04215009933507,0.012714197536624
p5,64,16,0.4,0.0005,0,0.698991935483871,0.033033152906541,0.009964152823759,0.693784209085933,0.031466675726274,0.97047619047619,0.026968949980275,0.808457999819759,0.0174557518388,0.005265370201491,0.691861471861472,0.135803632637098,0.04096394169355
p7,32,64,0.4,0.0005,0,0.639770114942529,0.05442258668608,0.016416082725697,0.644728552149605,0.034324532179254,0.86078431372549,0.106136224335093,0.734885663771833,0.046930907053082,0.014156285092058,0.635281548516843,0.114652857593678,0.034584001048168
p9,128,32,0.4,0.0005,0,0.561666666666667,0.028012893856619,0.008449836932394,0.57093653250774,0.019006587299437,0.769230769230769,0.172005229038445,0.647511804908357,0.057857029369362,0.017452051404118,0.539393939393939,0.091780534241333,0.027684770872895
,,,,,,,,,,,,,,,,,,
,,child raw,,,,,,,,,,,,,,,,
