speaker,speech_start,speech_end
SPEAKER_01,1.7353437500000002,2.44409375
SPEAKER_01,3.40596875,4.232843750000001
SPEAKER_01,8.62034375,9.29534375
SPEAKER_01,9.497843750000001,10.08846875
SPEAKER_01,11.15159375,11.961593750000002
SPEAKER_01,11.978468750000001,11.99534375
SPEAKER_01,12.400343750000001,14.037218750000001
SPEAKER_01,14.492843750000002,18.137843750000002
SPEAKER_01,18.47534375,18.96471875
SPEAKER_01,19.454093750000002,21.64784375
SPEAKER_01,21.985343750000002,25.34346875
SPEAKER_01,25.714718750000003,28.07721875
SPEAKER_01,28.667843750000003,29.05596875
SPEAKER_01,29.71409375,30.70971875
SPEAKER_01,31.317218750000002,34.18596875
SPEAKER_01,34.52346875,36.75096875
SPEAKER_01,37.172843750000006,40.362218750000004
SPEAKER_01,41.32409375,43.14659375
SPEAKER_01,43.48409375,47.33159375
SPEAKER_01,48.259718750000005,49.33971875
SPEAKER_01,49.829093750000006,50.689718750000004
SPEAKER_01,51.212843750000005,52.883468750000006
SPEAKER_01,53.60909375,54.570968750000006
SPEAKER_01,55.24596875,61.860968750000005
SPEAKER_01,62.400968750000004,66.77159375000001
SPEAKER_01,68.32409375,68.99909375
SPEAKER_01,69.33659375,70.53471875000001
SPEAKER_01,71.00721875,72.32346875
SPEAKER_01,74.58471875000001,75.73221875
SPEAKER_01,75.96846875,76.03596875000001
SPEAKER_01,76.10346875,77.06534375000001
SPEAKER_01,78.14534375000001,79.37721875000001
SPEAKER_01,80.77784375,82.12784375000001
SPEAKER_01,83.69721875,84.89534375000001
SPEAKER_01,85.11471875000001,89.13096875000001
SPEAKER_01,89.65409375,99.52596875
SPEAKER_00,93.90659375,94.17659375000001
SPEAKER_00,96.13409375,96.40409375
SPEAKER_00,97.51784375000001,97.77096875000001
SPEAKER_01,100.11659375,100.43721875
SPEAKER_01,101.06159375,103.59284375
SPEAKER_01,105.48284375,105.87096875
SPEAKER_01,106.29284375,106.54596875
SPEAKER_01,109.38096875000001,109.87034375
SPEAKER_01,111.30471875,112.23284375
SPEAKER_01,113.27909375,114.78096875000001
SPEAKER_01,116.02971875,119.80971875
SPEAKER_01,120.78846875,122.50971875
SPEAKER_01,123.84284375000001,125.64846875
SPEAKER_01,125.81721875000001,126.44159375000001
SPEAKER_01,126.76221875,128.46659375000002
SPEAKER_01,128.78721875,129.19221875
SPEAKER_01,130.28909375,131.48721875
SPEAKER_01,131.87534375,132.09471875
SPEAKER_01,132.80346875,134.25471875
SPEAKER_01,135.26721875,135.68909375
SPEAKER_01,137.56221875,138.03471875
SPEAKER_01,138.23721875,140.36346875
SPEAKER_01,140.70096875000002,140.97096875
SPEAKER_01,142.00034375,142.65846875
SPEAKER_01,142.97909375,144.97034375
SPEAKER_01,145.81409375,146.84346875
SPEAKER_01,148.63221875000002,150.45471875
SPEAKER_01,152.07471875000002,153.91409375
SPEAKER_01,155.02784375000002,156.68159375000002
SPEAKER_01,156.88409375,158.63909375
SPEAKER_01,158.95971875,159.06096875
SPEAKER_01,159.24659375000002,160.66409375
SPEAKER_01,160.96784375000001,165.84471875
SPEAKER_01,165.96284375000002,168.27471875
SPEAKER_01,168.78096875,171.78471875000002
SPEAKER_00,169.06784375,169.57409375
SPEAKER_01,172.07159375,172.51034375
SPEAKER_01,172.93221875,185.74034375000002
SPEAKER_01,188.25471875000002,188.86221875
SPEAKER_01,189.14909375000002,189.40221875
SPEAKER_01,190.21221875,192.60846875000001
SPEAKER_01,193.55346875,193.85721875000002
SPEAKER_01,194.26221875000002,197.83971875
SPEAKER_01,198.95346875,201.11346875
SPEAKER_01,203.69534375,205.19721875000002
SPEAKER_01,207.17159375,209.55096875
SPEAKER_01,210.86721875,211.54221875000002
SPEAKER_01,212.08221875,212.65596875
SPEAKER_01,212.92596875,213.70221875000001
SPEAKER_01,217.43159375000002,219.16971875000002
SPEAKER_00,217.49909375000001,217.75221875000003
SPEAKER_01,219.47346875000002,219.87846875000002
SPEAKER_01,220.38471875000002,221.56596875000002
SPEAKER_01,222.66284375,225.73409375000003
SPEAKER_01,226.17284375000003,227.82659375
SPEAKER_01,228.11346875,231.94409375
SPEAKER_01,232.43346875,235.50471875000002
SPEAKER_01,236.87159375000002,237.86721875
SPEAKER_01,238.18784375,238.91346875000002
SPEAKER_01,239.60534375,242.23784375000002
SPEAKER_01,242.64284375000003,246.13596875000002
SPEAKER_01,246.69284375,248.41409375
SPEAKER_01,249.02159375000002,251.41784375
SPEAKER_01,252.70034375000003,254.25284375
SPEAKER_01,254.40471875000003,256.04159375
SPEAKER_01,256.41284375000004,257.40846875
SPEAKER_01,257.59409375,260.05784375
SPEAKER_01,260.63159375000004,264.07409375000003
SPEAKER_01,264.51284375,267.61784375
SPEAKER_01,268.76534375,271.43159375
SPEAKER_01,271.71846875,273.05159375
SPEAKER_01,273.52409375,275.26221875000005
SPEAKER_01,275.56596875,277.15221875000003
SPEAKER_01,277.65846875,278.68784375
SPEAKER_01,278.78909375,279.66659375
SPEAKER_01,280.10534375000003,281.08409375
SPEAKER_01,281.57346875,282.90659375
SPEAKER_00,282.90659375,283.49721875
SPEAKER_01,283.15971875,283.22721875
SPEAKER_01,285.08346875,285.67409375
SPEAKER_01,285.85971875,286.29846875000004
SPEAKER_01,290.16284375000004,291.20909375
SPEAKER_01,291.71534375000005,292.32284375
SPEAKER_01,293.94284375,294.93846875
SPEAKER_01,296.30534375,297.21659375
SPEAKER_01,298.81971875,299.96721875000003
