,precision,recall,f1-score,support
disengaged,0.4666666666666667,0.875,0.6086956521739131,8.0
engaged,0.8333333333333334,0.38461538461538464,0.5263157894736842,13.0
accuracy,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
macro avg,0.65,0.6298076923076923,0.5675057208237986,21.0
weighted avg,0.6936507936507936,0.5714285714285714,0.5576985943118666,21.0
