,precision,recall,f1-score,support
disengaged,0.5,0.7142857142857143,0.5882352941176471,7.0
engaged,0.6666666666666666,0.4444444444444444,0.5333333333333333,9.0
accuracy,0.5625,0.5625,0.5625,0.5625
macro avg,0.5833333333333333,0.5793650793650793,0.5607843137254902,16.0
weighted avg,0.59375,0.5625,0.5573529411764706,16.0
