train_loss,val_loss
0.7157230228185654,0.6906728148460388
0.6790633201599121,0.6614741086959839
0.6439041048288345,0.6425110697746277
0.6279651820659637,0.6244239211082458
0.599781796336174,0.6103804707527161
0.5976578742265701,0.5993897318840027
0.5652972906827927,0.591504693031311
0.5648009181022644,0.584516167640686
0.5448772311210632,0.5794174075126648
0.5135256797075272,0.5749731659889221
0.5006527975201607,0.5697080492973328
0.4888822138309479,0.5645365715026855
0.4727711081504822,0.5603445768356323
0.43653668463230133,0.5515046715736389
0.42495253682136536,0.5445564985275269
0.4055325612425804,0.5407817959785461
0.371835820376873,0.5357088446617126
0.34277889132499695,0.530044436454773
0.3133752942085266,0.5231121182441711
0.2924116291105747,0.520927906036377
0.2545968145132065,0.5162123441696167
0.26145611703395844,0.5199254751205444
0.2431448958814144,0.5237074494361877
0.21442417800426483,0.5299924612045288
0.1839552391320467,0.5299107432365417
0.18042005971074104,0.533607542514801
0.1922240350395441,0.5342621803283691
0.1276731789112091,0.5470977425575256
0.14086473733186722,0.5750094652175903
0.13777603581547737,0.6027911305427551
0.12247376516461372,0.6170744895935059
